Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords

457012,011,2021-07-08 19:18:57.227,A69-1602,65477,82.0,38.5,0,#97,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,012,2021-07-08 19:19:05.406,A69-1602,65477,82.0,38.5,0,#91,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,013,2021-07-08 19:19:13.585,A69-1602,65477,82.0,37.5,0,#98,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,015,2021-07-08 19:19:21.764,A69-1602,65477,82.0,38.0,0,#94,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,016,2021-07-08 19:19:29.944,A69-1602,65477,81.5,37.0,0,#A0,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,017,2021-07-08 19:19:38.123,A69-1602,65477,82.0,37.0,0,#92,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,018,2021-07-08 19:19:46.302,A69-1602,65477,81.5,37.5,0,#9A,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,019,2021-07-08 19:19:54.481,A69-1602,65477,82.0,36.5,0,#9D,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,020,2021-07-08 19:20:02.661,A69-1602,65477,82.0,36.5,0,#86,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,021,2021-07-08 19:20:10.840,A69-1602,65477,82.0,36.5,0,#85,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,023,2021-07-08 19:20:19.019,A69-1602,65477,82.0,37.0,0,#8A,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,024,2021-07-08 19:20:27.198,A69-1602,65477,82.0,35.5,0,#95,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,025,2021-07-08 19:20:35.378,A69-1602,65477,82.0,35.0,0,#90,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,026,2021-07-08 19:20:43.556,A69-1602,65477,81.5,35.5,0,#97,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

457012,027,2021-07-08 19:20:51.736,A69-1602,65477,82.0,35.0,0,#8E,6,"(34.109135, -117.71281)","(34.109172, -117.71241)"

