Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
Distance: 0m457012,234,2021-07-22 11:14:51.858,A69-1602,65477,81.5,36.0,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,10,0.0,0.0
457012,235,2021-07-22 11:15:00.037,A69-1602,65477,82.0,37.0,0,#7D,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,10,7.142857142916625e-05,0.10428571428658273
457012,236,2021-07-22 11:15:08.216,A69-1602,65477,82.0,38.0,0,#86,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.358,10,0.0001428571428583325,0.20857142857316546
457012,237,2021-07-22 11:15:16.395,A69-1602,65477,81.5,37.0,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.536929,10,0.00028528571428765304,0.41651714285997343
457012,239,2021-07-22 11:15:24.574,A69-1602,65477,81.5,38.5,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.715715,10,0.0005707142857147574,0.8332428571435457
457012,240,2021-07-22 11:15:32.753,A69-1602,65477,81.5,39.5,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.894216,10,0.0011411428571470594,1.6660685714347068
457012,241,2021-07-22 11:15:40.932,A69-1602,65477,81.0,44.0,0,#7F,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.072146,10,0.002282571428580127,3.332554285726985
457012,242,2021-07-22 11:15:49.111,A69-1602,65477,81.5,43.0,0,#83,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.249935,10,0.0035650000000053694,5.204900000007839
457012,243,2021-07-22 11:15:57.290,A69-1602,65477,81.0,39.0,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.425441,10,0.007130428571429093,10.410425714286475
457012,244,2021-07-22 11:16:05.469,A69-1602,65477,82.0,38.5,0,#8A,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.597382,10,0.014260857142868844,20.82085142858851
457012,245,2021-07-22 11:16:13.648,A69-1602,65477,82.0,38.0,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",81.762193,10,0.028521285714298017,41.641077142875105
457012,246,2021-07-22 11:16:21.827,A69-1602,65477,82.0,36.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",89.912743,10,0.05704271428571772,83.28236285714787
457012,248,2021-07-22 11:16:30.006,A69-1602,65477,82.0,39.5,0,#8A,"(34.109135, -117.71281)","(34.109172, -117.71241)",98.035772,10,0.11308514285715887,165.10430857145195
457012,249,2021-07-22 11:16:38.185,A69-1602,65477,82.0,38.5,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.101758,10,7.9529008571428506,11611.235251428561
457012,250,2021-07-22 11:16:46.364,A69-1602,65477,82.0,37.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.327929,10,4.285714148011266e-07,0.0006257142656096448
457012,251,2021-07-22 11:16:54.543,A69-1602,65477,82.0,37.5,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.506929,10,7.100000001258877e-05,0.1036600000183796
457012,252,2021-07-22 11:17:02.722,A69-1602,65477,82.0,38.0,0,#84,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.733029,10,0.22602899999998982,330.0023399999851
457012,253,2021-07-22 11:17:10.901,A69-1602,65477,82.0,35.0,0,#80,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.733171,10,0.22617099999998658,330.20965999998043
457012,254,2021-07-22 11:17:19.080,A69-1602,65477,82.0,35.0,0,#88,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.733171,10,0.22617099999998658,330.20965999998043
457012,256,2021-07-22 11:17:27.259,A69-1602,65477,82.0,36.0,0,#89,"(34.109135, -117.71281)","(34.109172, -117.71241)",122.912171,10,0.2260995714285592,330.1053742856964
457012,257,2021-07-22 11:17:35.438,A69-1602,65477,82.0,38.0,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",131.092171,10,0.22702814285713657,331.4610885714194
457012,258,2021-07-22 11:17:43.617,A69-1602,65477,82.0,36.5,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",131.091242,10,0.22609914285712307,330.1047485713997
457012,259,2021-07-22 11:17:51.796,A69-1602,65477,81.5,37.5,0,#A3,"(34.109135, -117.71281)","(34.109172, -117.71241)",139.270242,10,0.22602771428569568,330.0004628571157
457012,260,2021-07-22 11:17:59.975,A69-1602,65477,82.0,37.0,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",147.449242,10,0.2259562857142683,329.8961771428317
457012,261,2021-07-22 11:18:08.154,A69-1602,65477,82.0,39.0,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",155.628242,10,0.2258848571428409,329.79189142854773
457012,262,2021-07-22 11:18:16.333,A69-1602,65477,82.0,34.0,0,#86,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.807242,10,0.2258134285714135,329.6876057142637
457012,264,2021-07-22 11:18:24.512,A69-1602,65477,82.0,34.0,0,#86,"(34.109135, -117.71281)","(34.109172, -117.71241)",171.986242,10,0.22574199999998612,329.5833199999797
