Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)

457049,129,2021-07-22 11:13:58.800,A69-1602,65477,82.0,32.0,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,38,0.0,0.0

457049,131,2021-07-22 11:14:06.979,A69-1602,65477,82.5,39.0,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,38,7.142857142916625e-05,0.10428571428658273

457049,132,2021-07-22 11:14:15.158,A69-1602,65477,82.0,39.0,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.358,38,0.0001428571428583325,0.20857142857316546

457049,133,2021-07-22 11:14:23.337,A69-1602,65477,82.0,32.0,0,#86,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.536929,38,0.00028528571428765304,0.41651714285997343

457049,134,2021-07-22 11:14:31.516,A69-1602,65477,82.0,34.0,0,#87,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.715715,38,0.0005707142857147574,0.8332428571435457

457049,135,2021-07-22 11:14:39.695,A69-1602,65477,82.0,35.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.894216,38,0.0011411428571470594,1.6660685714347068

457049,136,2021-07-22 11:14:47.874,A69-1602,65477,82.0,43.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.072146,38,0.002282571428580127,3.332554285726985

457049,137,2021-07-22 11:14:56.053,A69-1602,65477,82.0,41.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.248935,38,0.004565000000003039,6.664900000004437

457049,139,2021-07-22 11:15:04.232,A69-1602,65477,80.5,33.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.424441,38,0.008130428571433868,11.870425714293447

457049,140,2021-07-22 11:15:12.411,A69-1602,65477,80.5,33.0,0,#81,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.595382,38,0.016260857142864182,23.740851428581706

457049,141,2021-07-22 11:15:20.590,A69-1602,65477,80.0,39.0,0,#8A,"(34.109135, -117.71281)","(34.109172, -117.71241)",81.758193,38,0.032521285714288695,47.481077142861494

457049,142,2021-07-22 11:15:28.769,A69-1602,65477,81.5,38.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",89.904743,38,0.0650427142857275,94.96236285716215

457049,143,2021-07-22 11:15:36.948,A69-1602,65477,81.0,32.5,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",98.018772,38,0.13008514285715478,189.92430857144598

457049,144,2021-07-22 11:15:45.127,A69-1602,65477,80.0,32.0,0,#89,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.067758,38,7.9189008571428445,11561.595251428553

457049,145,2021-07-22 11:15:53.306,A69-1602,65477,79.5,31.5,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.328929,38,0.001000428571419576,1.460625714272581

457049,147,2021-07-22 11:16:01.485,A69-1602,65477,80.5,39.0,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.507929,38,0.0009289999999921861,1.3563399999885917

457049,148,2021-07-22 11:16:09.664,A69-1602,65477,80.5,37.5,0,#A4,"(34.109135, -117.71281)","(34.109172, -117.71241)",122.686929,38,0.0008575714285647962,1.2520542857046024

457049,149,2021-07-22 11:16:17.843,A69-1602,65477,80.5,30.5,0,#9C,"(34.109135, -117.71281)","(34.109172, -117.71241)",130.865929,38,0.0007861428571231954,1.1477685713998653

457049,150,2021-07-22 11:16:26.022,A69-1602,65477,80.5,31.0,0,#85,"(34.109135, -117.71281)","(34.109172, -117.71241)",139.044929,38,0.0007147142856958055,1.043482857115876

457049,151,2021-07-22 11:16:34.201,A69-1602,65477,80.5,38.0,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",147.223929,38,0.0006432857142684156,0.9391971428318868

457049,152,2021-07-22 11:16:42.380,A69-1602,65477,81.0,38.5,0,#94,"(34.109135, -117.71281)","(34.109172, -117.71241)",155.402929,38,0.0005718571428410257,0.8349114285478976

457049,153,2021-07-22 11:16:50.559,A69-1602,65477,81.5,34.5,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.582929,38,0.0015004285714184107,2.1906257142708796

457049,154,2021-07-22 11:16:58.738,A69-1602,65477,82.0,34.5,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.842171,38,0.2607424285714188,380.6839457142715

457049,156,2021-07-22 11:17:06.917,A69-1602,65477,82.0,33.5,0,#93,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.842171,38,0.2607424285714188,380.6839457142715

457049,157,2021-07-22 11:17:15.096,A69-1602,65477,81.5,40.0,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",172.021171,38,0.26067099999999144,380.5796599999875

457049,158,2021-07-22 11:17:23.275,A69-1602,65477,82.0,36.0,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",180.200171,38,0.26059957142856405,380.47537428570354

457049,159,2021-07-22 11:17:31.454,A69-1602,65477,81.5,30.0,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",188.379171,38,0.26052814285713666,380.37108857141953

457049,160,2021-07-22 11:17:39.633,A69-1602,65477,82.5,32.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",196.558171,38,0.26045671428568085,380.26680285709404

457049,161,2021-07-22 11:17:47.812,A69-1602,65477,82.0,36.5,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",204.737171,38,0.26038528571425346,380.16251714281003

457049,162,2021-07-22 11:17:55.991,A69-1602,65477,81.0,36.0,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",212.917171,38,0.26131385714283084,381.518231428533

