Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,039,2021-07-23 04:41:24.294,A69-1602,65477,81.5,36.0,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",90.903,0,0.933214285714282,1362.4928571428518
457049,040,2021-07-23 04:41:32.473,A69-1602,65477,81.5,37.0,0,#90,"(33.750672, -118.122642)","(33.752228, -118.12863)",99.082,0,0.9331428571428404,1362.388571428547
457049,041,2021-07-23 04:41:40.652,A69-1602,65477,82.0,36.0,0,#8A,"(33.750672, -118.122642)","(33.752228, -118.12863)",107.261,0,0.933071428571413,1362.284285714263
457049,042,2021-07-23 04:41:48.831,A69-1602,65477,81.5,36.0,0,#96,"(33.750672, -118.122642)","(33.752228, -118.12863)",115.44,0,0.9329999999999856,1362.179999999979
457049,044,2021-07-23 04:41:57.011,A69-1602,65477,82.0,36.5,0,#8F,"(33.750672, -118.122642)","(33.752228, -118.12863)",123.62,0,0.933928571428563,1363.535714285702
457049,045,2021-07-23 04:42:05.190,A69-1602,65477,81.5,37.0,0,#92,"(33.750672, -118.122642)","(33.752228, -118.12863)",131.798071,0,0.9329281428571221,1362.0750885713983
457049,046,2021-07-23 04:42:13.371,A69-1602,65477,82.0,36.5,0,#93,"(33.750672, -118.122642)","(33.752228, -118.12863)",139.979071,0,0.9348567142857043,1364.8908028571282
457049,047,2021-07-23 04:42:21.550,A69-1602,65477,82.0,36.5,0,#92,"(33.750672, -118.122642)","(33.752228, -118.12863)",148.156142,0,0.9328562857142586,1361.9701771428176
457049,048,2021-07-23 04:42:29.729,A69-1602,65477,82.0,37.0,0,#9F,"(33.750672, -118.122642)","(33.752228, -118.12863)",156.335142,0,0.9327848571428312,1361.8658914285336
457049,049,2021-07-23 04:42:37.908,A69-1602,65477,82.0,37.0,0,#9E,"(33.750672, -118.122642)","(33.752228, -118.12863)",164.514142,0,0.9327134285714038,1361.7616057142495
457049,050,2021-07-23 04:42:46.087,A69-1602,65477,81.5,36.5,0,#9C,"(33.750672, -118.122642)","(33.752228, -118.12863)",172.693142,0,0.9326419999999764,1361.6573199999657
457049,052,2021-07-23 04:42:54.266,A69-1602,65477,81.5,36.0,0,#97,"(33.750672, -118.122642)","(33.752228, -118.12863)",180.872142,0,0.932570571428549,1361.5530342856816
457049,053,2021-07-23 04:43:02.445,A69-1602,65477,82.0,36.5,0,#92,"(33.750672, -118.122642)","(33.752228, -118.12863)",189.051142,0,0.9324991428571217,1361.4487485713976
457049,054,2021-07-23 04:43:10.624,A69-1602,65477,82.0,37.0,0,#8D,"(33.750672, -118.122642)","(33.752228, -118.12863)",197.230142,0,0.9324277142856943,1361.3444628571137
457049,055,2021-07-23 04:43:18.803,A69-1602,65477,81.5,36.5,0,#9D,"(33.750672, -118.122642)","(33.752228, -118.12863)",205.409142,0,0.9323562857142669,1361.2401771428297
457049,056,2021-07-23 04:43:26.982,A69-1602,65477,82.0,36.0,0,#9C,"(33.750672, -118.122642)","(33.752228, -118.12863)",213.588142,0,0.9322848571428395,1361.1358914285456
457049,057,2021-07-23 04:43:35.161,A69-1602,65477,82.0,36.5,0,#97,"(33.750672, -118.122642)","(33.752228, -118.12863)",221.767142,0,0.9322134285714121,1361.0316057142616
457049,058,2021-07-23 04:43:43.340,A69-1602,65477,82.0,37.0,0,#92,"(33.750672, -118.122642)","(33.752228, -118.12863)",229.946142,0,0.9321419999999847,1360.9273199999777
457049,059,2021-07-23 04:43:51.519,A69-1602,65477,82.0,36.0,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",238.125142,0,0.9320705714285573,1360.8230342856937
457049,061,2021-07-23 04:43:59.698,A69-1602,65477,81.5,36.5,0,#AB,"(33.750672, -118.122642)","(33.752228, -118.12863)",246.304142,0,0.9319991428571299,1360.7187485714096
457049,062,2021-07-23 04:44:07.877,A69-1602,65477,82.0,36.5,0,#A1,"(33.750672, -118.122642)","(33.752228, -118.12863)",254.483142,0,0.9319277142856741,1360.6144628570842
457049,063,2021-07-23 04:44:16.056,A69-1602,65477,82.0,36.0,0,#92,"(33.750672, -118.122642)","(33.752228, -118.12863)",262.662142,0,0.9318562857142751,1360.5101771428417
457049,064,2021-07-23 04:44:24.235,A69-1602,65477,82.0,36.5,0,#96,"(33.750672, -118.122642)","(33.752228, -118.12863)",270.841142,0,0.9317848571428193,1360.4058914285163
457049,065,2021-07-23 04:44:32.414,A69-1602,65477,82.0,36.5,0,#95,"(33.750672, -118.122642)","(33.752228, -118.12863)",279.020142,0,0.9317134285714204,1360.3016057142738
457049,066,2021-07-23 04:44:40.594,A69-1602,65477,82.0,36.5,0,#9E,"(33.750672, -118.122642)","(33.752228, -118.12863)",287.200142,0,0.9326419999999978,1361.6573199999966
457049,067,2021-07-23 04:44:48.773,A69-1602,65477,82.0,37.0,0,#A2,"(33.750672, -118.122642)","(33.752228, -118.12863)",295.378213,0,0.9316415714285569,1360.196694285693
457049,069,2021-07-23 04:44:56.952,A69-1602,65477,82.0,37.0,0,#A2,"(33.750672, -118.122642)","(33.752228, -118.12863)",303.557213,0,0.931570142857101,1360.0924085713675
457049,070,2021-07-23 04:45:05.131,A69-1602,65477,82.0,36.5,0,#8E,"(33.750672, -118.122642)","(33.752228, -118.12863)",311.736213,0,0.9314987142857021,1359.988122857125
457049,071,2021-07-23 04:45:13.310,A69-1602,65477,82.0,36.5,0,#8D,"(33.750672, -118.122642)","(33.752228, -118.12863)",319.915213,0,0.9314272857142463,1359.8838371427996
457049,072,2021-07-23 04:45:21.489,A69-1602,65477,82.0,36.5,0,#9E,"(33.750672, -118.122642)","(33.752228, -118.12863)",328.094213,0,0.9313558571428473,1359.7795514285572
457049,073,2021-07-23 04:45:29.669,A69-1602,65477,82.0,36.0,0,#A2,"(33.750672, -118.122642)","(33.752228, -118.12863)",336.274213,0,0.9322844285713678,1361.135265714197
457049,074,2021-07-23 04:45:37.848,A69-1602,65477,81.5,36.5,0,#AA,"(33.750672, -118.122642)","(33.752228, -118.12863)",344.452284,0,0.9312839999999838,1359.6746399999763
457049,075,2021-07-23 04:45:46.027,A69-1602,65477,81.5,36.5,0,#A0,"(33.750672, -118.122642)","(33.752228, -118.12863)",352.631284,0,0.931212571428528,1359.5703542856509
457049,077,2021-07-23 04:45:54.206,A69-1602,65477,81.5,36.5,0,#A0,"(33.750672, -118.122642)","(33.752228, -118.12863)",360.810284,0,0.931141142857129,1359.4660685714084
457049,078,2021-07-23 04:46:02.385,A69-1602,65477,81.5,36.0,0,#9E,"(33.750672, -118.122642)","(33.752228, -118.12863)",368.989284,0,0.9310697142856732,1359.361782857083
457049,079,2021-07-23 04:46:10.564,A69-1602,65477,81.5,37.0,0,#9E,"(33.750672, -118.122642)","(33.752228, -118.12863)",377.168284,0,0.9309982857142742,1359.2574971428403
457049,080,2021-07-23 04:46:18.743,A69-1602,65477,81.5,37.5,0,#A2,"(33.750672, -118.122642)","(33.752228, -118.12863)",385.347284,0,0.9309268571428184,1359.1532114285149
457049,081,2021-07-23 04:46:26.922,A69-1602,65477,81.5,37.0,0,#9C,"(33.750672, -118.122642)","(33.752228, -118.12863)",393.526284,0,0.9308554285713626,1359.0489257141894
457049,082,2021-07-23 04:46:35.101,A69-1602,65477,81.5,36.5,0,#96,"(33.750672, -118.122642)","(33.752228, -118.12863)",401.705284,0,0.9307839999999636,1358.944639999947
457049,083,2021-07-23 04:46:43.281,A69-1602,65477,81.5,37.0,0,#9B,"(33.750672, -118.122642)","(33.752228, -118.12863)",409.885284,0,0.931712571428541,1360.30035428567
457049,084,2021-07-23 04:46:51.460,A69-1602,65477,81.5,37.0,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",418.063355,0,0.9307121428571001,1358.839728571366
457049,086,2021-07-23 04:46:59.639,A69-1602,65477,81.5,36.5,0,#B0,"(33.750672, -118.122642)","(33.752228, -118.12863)",426.242355,0,0.9306407142856443,1358.7354428570407
457049,087,2021-07-23 04:47:07.818,A69-1602,65477,81.5,36.5,0,#AA,"(33.750672, -118.122642)","(33.752228, -118.12863)",434.421355,0,0.9305692857142454,1358.6311571427982
457049,088,2021-07-23 04:47:15.997,A69-1602,65477,81.5,36.5,0,#B2,"(33.750672, -118.122642)","(33.752228, -118.12863)",442.600355,0,0.9304978571427895,1358.5268714284728
457049,089,2021-07-23 04:47:24.176,A69-1602,65477,81.5,36.0,0,#A3,"(33.750672, -118.122642)","(33.752228, -118.12863)",450.779355,0,0.9304264285713906,1358.4225857142303
457049,090,2021-07-23 04:47:32.355,A69-1602,65477,82.0,36.0,0,#95,"(33.750672, -118.122642)","(33.752228, -118.12863)",458.958355,0,0.9303549999999348,1358.3182999999049
457049,091,2021-07-23 04:47:40.535,A69-1602,65477,82.0,36.5,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",467.138355,0,0.9312835714285121,1359.6740142856277
457049,092,2021-07-23 04:47:48.714,A69-1602,65477,82.0,36.5,0,#A2,"(33.750672, -118.122642)","(33.752228, -118.12863)",475.316426,0,0.9302831428570713,1358.213388571324
457049,094,2021-07-23 04:47:56.893,A69-1602,65477,82.0,37.0,0,#A7,"(33.750672, -118.122642)","(33.752228, -118.12863)",483.495426,0,0.9302117142856723,1358.1091028570816
457049,095,2021-07-23 04:48:05.072,A69-1602,65477,81.5,37.0,0,#9C,"(33.750672, -118.122642)","(33.752228, -118.12863)",491.674426,0,0.9301402857142165,1358.004817142756
