Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,129,2021-07-22 11:13:58.800,A69-1602,65477,82.0,32.0,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,38,0.0,0.0
457049,131,2021-07-22 11:14:06.979,A69-1602,65477,82.5,39.0,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,38,7.142857142916625e-05,0.10428571428658273
457049,132,2021-07-22 11:14:15.158,A69-1602,65477,82.0,39.0,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.358,38,0.0001428571428583325,0.20857142857316546
457049,133,2021-07-22 11:14:23.337,A69-1602,65477,82.0,32.0,0,#86,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.536929,38,0.00028528571428765304,0.41651714285997343
457049,134,2021-07-22 11:14:31.516,A69-1602,65477,82.0,34.0,0,#87,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.715715,38,0.0005707142857147574,0.8332428571435457
457049,135,2021-07-22 11:14:39.695,A69-1602,65477,82.0,35.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.894216,38,0.0011411428571470594,1.6660685714347068
457049,136,2021-07-22 11:14:47.874,A69-1602,65477,82.0,43.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.072146,38,0.002282571428580127,3.332554285726985
457049,137,2021-07-22 11:14:56.053,A69-1602,65477,82.0,41.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.248935,38,0.004565000000003039,6.664900000004437
457049,139,2021-07-22 11:15:04.233,A69-1602,65477,80.5,33.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.424441,38,0.008130428571433868,11.870425714293447
457049,140,2021-07-22 11:15:12.412,A69-1602,65477,80.5,33.0,0,#81,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.595382,38,0.016260857142864182,23.740851428581706
