Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords
457012,000,2021-07-22 11:00:00,A69-1602,65477,82.0,38.5,#97,0,"(33.48138,-117.734245)","(33.480447,-117.734242)"
457012,000,2021-07-22 11:00:16.458000,A69-1602,65477,82.0,38.5,#97,94.6092393494248,"(33.48138,-117.734245)","(33.480526999999995,-117.734242)"
457012,000,2021-07-22 11:00:32.916000,A69-1602,65477,82.0,38.5,#97,85.7362387243428,"(33.48138,-117.734245)","(33.48060699999999,-117.734242)"
457012,000,2021-07-22 11:00:49.374000,A69-1602,65477,82.0,38.5,#97,76.86324780222925,"(33.48138,-117.734245)","(33.48068699999999,-117.734242)"
457012,000,2021-07-22 11:01:05.832000,A69-1602,65477,82.0,38.5,#97,67.99027042515752,"(33.48138,-117.734245)","(33.480766999999986,-117.734242)"
457012,000,2021-07-22 11:01:22.290000,A69-1602,65477,82.0,38.5,#97,59.117312748506066,"(33.48138,-117.734245)","(33.48084699999998,-117.734242)"
457012,000,2021-07-22 11:01:38.748000,A69-1602,65477,82.0,38.5,#97,50.24438526356312,"(33.48138,-117.734245)","(33.48092699999998,-117.734242)"
457012,000,2021-07-22 11:01:55.206000,A69-1602,65477,82.0,38.5,#97,41.371507474294916,"(33.48138,-117.734245)","(33.48100699999998,-117.734242)"
457012,000,2021-07-22 11:02:11.664000,A69-1602,65477,82.0,38.5,#97,32.498720176349906,"(33.48138,-117.734245)","(33.481086999999974,-117.734242)"
457012,000,2021-07-22 11:02:28.122000,A69-1602,65477,82.0,38.5,#97,23.626125454428255,"(33.48138,-117.734245)","(33.48116699999997,-117.734242)"
457012,000,2021-07-22 11:02:44.580000,A69-1602,65477,82.0,38.5,#97,14.75407094151185,"(33.48138,-117.734245)","(33.48124699999997,-117.734242)"
457012,000,2021-07-22 11:03:01.038000,A69-1602,65477,82.0,38.5,#97,5.885000875689328,"(33.48138,-117.734245)","(33.481326999999965,-117.734242)"
