Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,013,2021-07-21 11:52:04.863,A69-1602,65477,60.5,20.5,0,#8A,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,0,0.0,0.0
457049,014,2021-07-21 11:52:13.042,A69-1602,65477,61.0,20.5,0,#7C,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,0,7.142857142916625e-05,0.10428571428658273
457049,015,2021-07-21 11:52:21.220,A69-1602,65477,63.0,20.5,0,#7C,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.357,0,0.0011428571428595546,1.6685714285749498
457049,016,2021-07-21 11:52:29.400,A69-1602,65477,62.0,20.5,0,#84,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.537,0,0.00021428571428927512,0.3128571428623417
457049,017,2021-07-21 11:52:37.579,A69-1602,65477,61.0,20.5,0,#94,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.716,0,0.000285714285716665,0.4171428571463309
457049,019,2021-07-21 11:52:45.758,A69-1602,65477,61.5,21.0,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",34.332429,0,1.61614328571428,2359.5691971428487
457049,020,2021-07-21 11:52:53.937,A69-1602,65477,62.5,20.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",34.332929,0,1.6166432857142823,2360.2991971428523
457049,021,2021-07-21 11:53:02.116,A69-1602,65477,62.0,20.5,0,#7C,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.717071,0,0.0007852857142793823,1.1465171428478982
457049,022,2021-07-21 11:53:10.295,A69-1602,65477,61.5,21.0,0,#84,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.896071,0,0.0007138571428519924,1.042231428563909
457049,023,2021-07-21 11:53:18.474,A69-1602,65477,61.0,20.5,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.075071,0,0.0006424285714246025,0.9379457142799197
457049,024,2021-07-21 11:53:26.654,A69-1602,65477,61.5,20.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.255071,0,0.001570999999994882,2.293659999992528
457049,025,2021-07-21 11:53:34.833,A69-1602,65477,61.5,20.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.434071,0,0.0014995714285674921,2.1893742857085385
457049,026,2021-07-21 11:53:43.012,A69-1602,65477,62.0,20.5,0,#81,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.613071,0,0.0014281428571401023,2.0850885714245493
457049,028,2021-07-21 11:53:51.191,A69-1602,65477,61.5,20.5,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",70.098356,0,4.66578457142856,6812.045474285697
457049,029,2021-07-21 11:53:59.370,A69-1602,65477,62.0,20.5,0,#92,"(34.109135, -117.71281)","(34.109172, -117.71241)",61.919356,0,4.6658559999999945,6812.149759999992
457049,030,2021-07-21 11:54:07.549,A69-1602,65477,62.0,20.5,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.075928,0,0.0014994285714209354,2.1891657142745657
457049,031,2021-07-21 11:54:15.728,A69-1602,65477,62.0,20.5,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.254928,0,0.0014279999999935455,2.0848799999905765
