Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,566,2021-07-23 08:49:38.525,A69-1602,65477,58.0,35.5,0,#AF,"(33.75197, -118.12675)","(33.752437, -118.126617)",14894.231,55,0.12233338463784328,178.60674157125118
457049,567,2021-07-23 08:49:46.704,A69-1602,65477,59.5,35.5,0,#B4,"(33.75197, -118.12675)","(33.752437, -118.126617)",14902.41,55,-0.17389148731163495,-253.88157147498703
457049,569,2021-07-23 08:49:54.884,A69-1602,65477,60.5,36.0,0,#B2,"(33.75197, -118.12675)","(33.752437, -118.126617)",14910.59,55,-0.1730911179101205,-252.71303214877594
457049,570,2021-07-23 08:50:03.063,A69-1602,65477,58.0,35.5,0,#97,"(33.75197, -118.12675)","(33.752437, -118.126617)",14918.7682,55,-0.17384223380952096,-253.8096613619006
457049,571,2021-07-23 08:50:11.242,A69-1602,65477,59.0,35.5,0,#97,"(33.75197, -118.12675)","(33.752437, -118.126617)",14926.9472,55,-0.1739038006864668,-253.8995490022415
457049,572,2021-07-23 08:50:19.421,A69-1602,65477,63.0,36.0,0,#96,"(33.75197, -118.12675)","(33.752437, -118.126617)",14935.1262,55,-0.17396536756341263,-253.98943664258243
457049,573,2021-07-23 08:50:35.780,A69-1602,65477,58.5,35.5,0,#AA,"(33.75197, -118.12675)","(33.752437, -118.126617)",14951.4852,55,-0.17322656504041184,-252.9107849590013
457049,574,2021-07-23 08:50:52.137,A69-1602,65477,60.5,36.0,0,#9B,"(33.75197, -118.12675)","(33.752437, -118.126617)",14967.841461,55,-0.17484860598168983,-255.27896473326714
457049,576,2021-07-23 08:51:00.316,A69-1602,65477,63.0,35.5,0,#98,"(33.75197, -118.12675)","(33.752437, -118.126617)",14976.020461,55,-0.17491017285863564,-255.36885237360804
457049,577,2021-07-23 08:51:08.495,A69-1602,65477,61.0,36.0,0,#A3,"(33.75197, -118.12675)","(33.752437, -118.126617)",14984.199461,55,-0.1749717397355815,-255.45874001394898
457049,578,2021-07-23 08:51:16.675,A69-1602,65477,58.0,36.0,0,#A9,"(33.75197, -118.12675)","(33.752437, -118.126617)",14992.379461,55,-0.17417137033406704,-254.2902006877379
457049,579,2021-07-23 08:51:24.854,A69-1602,65477,61.0,36.0,0,#A2,"(33.75197, -118.12675)","(33.752437, -118.126617)",15000.557661,55,-0.1749224862334675,-255.38682990086258
457049,580,2021-07-23 08:51:33.033,A69-1602,65477,63.0,37.0,0,#92,"(33.75197, -118.12675)","(33.752437, -118.126617)",15008.736661,55,-0.17498405311041332,-255.47671754120344
457049,581,2021-07-23 08:51:49.391,A69-1602,65477,58.5,36.5,0,#AE,"(33.75197, -118.12675)","(33.752437, -118.126617)",15025.094661,55,-0.17510718686587282,-255.6564928241743
457049,583,2021-07-23 08:51:57.570,A69-1602,65477,61.0,36.0,0,#9E,"(33.75197, -118.12675)","(33.752437, -118.126617)",15033.273661,55,-0.17516875374281865,-255.74638046451523
457049,584,2021-07-23 08:52:05.750,A69-1602,65477,60.0,36.5,0,#9D,"(33.75197, -118.12675)","(33.752437, -118.126617)",15041.453661,55,-0.1743683843413042,-254.57784113830414
457049,585,2021-07-23 08:52:13.929,A69-1602,65477,60.5,36.5,0,#AA,"(33.75197, -118.12675)","(33.752437, -118.126617)",15049.631861,55,-0.17511950024070466,-255.6744703514288
457049,586,2021-07-23 08:52:22.107,A69-1602,65477,61.0,36.0,0,#96,"(33.75197, -118.12675)","(33.752437, -118.126617)",15057.809861,55,-0.17604300339611073,-257.02278495832167
457049,587,2021-07-23 08:52:30.287,A69-1602,65477,57.5,36.0,0,#A9,"(33.75197, -118.12675)","(33.752437, -118.126617)",15065.989861,55,-0.1752426339945963,-255.8542456321106
457049,588,2021-07-23 08:52:38.466,A69-1602,65477,62.5,36.5,0,#B2,"(33.75197, -118.12675)","(33.752437, -118.126617)",15074.168061,55,-0.17599374989399674,-256.95087484523526
