Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457012,320,2021-08-19 11:20:57.621,A69-1602,65477,75.5,30.0,0,#86,"(33.76012, -118.12036)","(33.76096, -118.11994)",3247.208,102,0.11664285714259748,170.2985714281923
457012,321,2021-08-19 11:21:05.800,A69-1602,65477,72.5,30.5,0,#82,"(33.76012, -118.12036)","(33.76096, -118.11994)",3255.387,102,0.11657142857125535,170.19428571403282
457012,322,2021-08-19 11:21:13.979,A69-1602,65477,78.5,29.0,0,#9C,"(33.76012, -118.12036)","(33.76096, -118.11994)",3263.566,102,0.11649999999945848,170.0899999992094
457012,323,2021-08-19 11:21:22.159,A69-1602,65477,77.0,29.5,0,#92,"(33.76012, -118.12036)","(33.76096, -118.11994)",3271.746,102,0.11742857142832008,171.44571428534732
457012,325,2021-08-19 11:21:30.338,A69-1602,65477,75.0,29.5,0,#90,"(33.76012, -118.12036)","(33.76096, -118.11994)",3279.924071,102,0.11642814285670866,169.98508857079463
457012,326,2021-08-19 11:21:38.517,A69-1602,65477,78.5,30.0,0,#93,"(33.76012, -118.12036)","(33.76096, -118.11994)",3288.103071,102,0.11635671428536654,169.88080285663514
457012,327,2021-08-19 11:21:46.698,A69-1602,65477,77.5,29.5,0,#A9,"(33.76012, -118.12036)","(33.76096, -118.11994)",3296.284071,102,0.11828528571397712,172.6965171424066
457012,328,2021-08-19 11:21:54.878,A69-1602,65477,75.0,30.0,0,#95,"(33.76012, -118.12036)","(33.76096, -118.11994)",3304.462142,102,0.1172848571423657,171.23589142785391
457012,329,2021-08-19 11:22:03.057,A69-1602,65477,77.0,29.5,0,#95,"(33.76012, -118.12036)","(33.76096, -118.11994)",3312.641142,102,0.11721342857102357,171.1316057136944
457012,330,2021-08-19 11:22:11.236,A69-1602,65477,77.5,29.5,0,#90,"(33.76012, -118.12036)","(33.76096, -118.11994)",3320.820142,102,0.11714199999968145,171.0273199995349
457012,331,2021-08-19 11:22:19.415,A69-1602,65477,77.5,30.0,0,#8B,"(33.76012, -118.12036)","(33.76096, -118.11994)",3328.999142,102,0.11707057142833932,170.92303428537542
457012,333,2021-08-19 11:22:27.594,A69-1602,65477,80.0,29.5,0,#96,"(33.76012, -118.12036)","(33.76096, -118.11994)",3337.178142,102,0.1169991428569972,170.8187485712159
457012,334,2021-08-19 11:22:35.774,A69-1602,65477,79.5,29.5,0,#A3,"(33.76012, -118.12036)","(33.76096, -118.11994)",3345.358142,102,0.11792771428540405,172.1744628566899
457012,335,2021-08-19 11:22:43.953,A69-1602,65477,75.0,29.0,0,#94,"(33.76012, -118.12036)","(33.76096, -118.11994)",3353.536213,102,0.11692728571379263,170.71383714213724
457012,336,2021-08-19 11:22:52.132,A69-1602,65477,76.5,29.5,0,#95,"(33.76012, -118.12036)","(33.76096, -118.11994)",3361.715213,102,0.1168558571424505,170.60955142797775
457012,337,2021-08-19 11:23:00.312,A69-1602,65477,77.5,30.0,0,#84,"(33.76012, -118.12036)","(33.76096, -118.11994)",3369.895213,102,0.11778442857085736,171.96526571345174
457012,338,2021-08-19 11:23:08.491,A69-1602,65477,76.0,30.0,0,#8F,"(33.76012, -118.12036)","(33.76096, -118.11994)",3378.073284,102,0.11678399999970068,170.50463999956298
457012,340,2021-08-19 11:23:24.849,A69-1602,65477,76.0,31.5,0,#93,"(33.76012, -118.12036)","(33.76096, -118.11994)",3394.431284,102,0.11664114285656169,170.29606857058008
457012,341,2021-08-19 11:23:33.028,A69-1602,65477,77.0,32.0,0,#86,"(33.76012, -118.12036)","(33.76096, -118.11994)",3402.610284,102,0.11656971428521956,170.19178285642056
457012,342,2021-08-19 11:23:41.207,A69-1602,65477,79.0,30.0,0,#85,"(33.76012, -118.12036)","(33.76096, -118.11994)",3410.789284,102,0.11649828571387744,170.08749714226104
457012,343,2021-08-19 11:23:49.386,A69-1602,65477,76.5,34.0,0,#9C,"(33.76012, -118.12036)","(33.76096, -118.11994)",3418.968284,102,0.11642685714253531,169.98321142810155
457012,344,2021-08-19 11:23:57.565,A69-1602,65477,75.0,34.5,0,#9A,"(33.76012, -118.12036)","(33.76096, -118.11994)",3427.147284,102,0.11635542857119319,169.87892571394207
457012,345,2021-08-19 11:24:05.745,A69-1602,65477,76.5,35.5,0,#9C,"(33.76012, -118.12036)","(33.76096, -118.11994)",3435.327284,102,0.11728399999960004,171.23463999941606
457012,346,2021-08-19 11:24:13.924,A69-1602,65477,79.5,36.0,0,#9A,"(33.76012, -118.12036)","(33.76096, -118.11994)",3443.505355,102,0.11628357142798862,169.77401428486337
457012,347,2021-08-19 11:24:22.103,A69-1602,65477,77.0,31.5,0,#89,"(33.76012, -118.12036)","(33.76096, -118.11994)",3451.684355,102,0.1162121428566465,169.66972857070388
457012,349,2021-08-19 11:24:30.282,A69-1602,65477,76.5,33.0,0,#93,"(33.76012, -118.12036)","(33.76096, -118.11994)",3459.863355,102,0.11614071428530437,169.5654428565444
457012,350,2021-08-19 11:24:38.461,A69-1602,65477,76.0,34.5,0,#93,"(33.76012, -118.12036)","(33.76096, -118.11994)",3468.042355,102,0.11606928571396224,169.46115714238488
457012,351,2021-08-19 11:24:46.640,A69-1602,65477,76.5,36.5,0,#99,"(33.76012, -118.12036)","(33.76096, -118.11994)",3476.221355,102,0.11599785714262012,169.35687142822536
457012,352,2021-08-19 11:24:54.819,A69-1602,65477,75.5,29.0,0,#9D,"(33.76012, -118.12036)","(33.76096, -118.11994)",3484.400355,102,0.115926428571278,169.25258571406587
457012,353,2021-08-19 11:25:02.998,A69-1602,65477,76.0,29.5,0,#A1,"(33.76012, -118.12036)","(33.76096, -118.11994)",3492.579355,102,0.11585499999948112,169.14829999924245
457012,354,2021-08-19 11:25:11.177,A69-1602,65477,77.0,29.5,0,#98,"(33.76012, -118.12036)","(33.76096, -118.11994)",3500.758355,102,0.115783571428139,169.04401428508294
457012,355,2021-08-19 11:25:19.356,A69-1602,65477,74.5,29.5,0,#A2,"(33.76012, -118.12036)","(33.76096, -118.11994)",3508.937355,102,0.11571214285679687,168.93972857092342
457012,357,2021-08-19 11:25:27.535,A69-1602,65477,76.5,29.5,0,#A4,"(33.76012, -118.12036)","(33.76096, -118.11994)",3517.116355,102,0.11564071428545475,168.83544285676393
457012,358,2021-08-19 11:25:35.714,A69-1602,65477,76.5,30.0,0,#96,"(33.76012, -118.12036)","(33.76096, -118.11994)",3525.295355,102,0.11556928571411262,168.73115714260445
457012,359,2021-08-19 11:25:43.894,A69-1602,65477,79.0,30.0,0,#9D,"(33.76012, -118.12036)","(33.76096, -118.11994)",3533.475355,102,0.11649785714251948,170.08687142807844
457012,360,2021-08-19 11:25:52.073,A69-1602,65477,77.0,33.0,0,#8B,"(33.76012, -118.12036)","(33.76096, -118.11994)",3541.653426,102,0.11549742857090806,168.62624571352575
457012,361,2021-08-19 11:26:00.253,A69-1602,65477,77.0,43.0,0,#87,"(33.76012, -118.12036)","(33.76096, -118.11994)",3549.833426,102,0.11642599999976966,169.9819599996637
457012,362,2021-08-19 11:26:08.432,A69-1602,65477,76.5,29.5,0,#9C,"(33.76012, -118.12036)","(33.76096, -118.11994)",3558.011497,102,0.11542557142815824,168.52133428511104
