Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Zero,Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords

457012,134,2021-06-29 19:01:15.507,A69-1602,65478,62.0,39.5,0,#92,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,135,2021-06-29 19:01:23.687,A69-1602,65478,66.0,39.5,0,#9F,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,136,2021-06-29 19:01:40.050,A69-1602,65478,62.5,41.5,0,#89,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,138,2021-06-29 19:02:04.591,A69-1602,65478,55.5,39.5,0,#9F,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,139,2021-06-29 19:02:12.772,A69-1602,65478,54.5,40.0,0,#92,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,140,2021-06-29 19:02:20.951,A69-1602,65478,62.5,41.0,0,#88,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,141,2021-06-29 19:02:29.131,A69-1602,65478,61.5,39.5,0,#93,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,142,2021-06-29 19:02:37.310,A69-1602,65478,61.5,37.0,0,#8B,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,143,2021-06-29 19:02:45.489,A69-1602,65478,60.0,38.0,0,#97,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,145,2021-06-29 19:02:53.669,A69-1602,65478,60.5,37.5,0,#A1,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,146,2021-06-29 19:03:01.848,A69-1602,65478,63.5,38.5,0,#9F,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,147,2021-06-29 19:03:10.028,A69-1602,65478,59.0,39.0,0,#92,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,148,2021-06-29 19:03:18.210,A69-1602,65478,55.5,39.0,0,#95,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,149,2021-06-29 19:03:26.386,A69-1602,65478,58.5,36.0,0,#A3,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,150,2021-06-29 19:03:34.565,A69-1602,65478,58.0,35.5,0,#98,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,151,2021-06-29 19:03:42.745,A69-1602,65478,54.5,37.0,0,#96,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

457012,153,2021-06-29 19:03:50.923,A69-1602,65478,59.5,38.5,0,#A0,100,"(33.75219, -118.12743)","(33.75227, -118.12857)"

