Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Zero,Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords

457012,002,2021-06-29 18:41:54.042,A69-1602,65478,67.0,31.5,0,#89,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,003,2021-06-29 18:42:02.221,A69-1602,65478,64.5,31.0,0,#80,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,004,2021-06-29 18:42:10.398,A69-1602,65478,72.0,32.5,0,#8F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,005,2021-06-29 18:42:18.577,A69-1602,65478,80.0,37.0,0,#96,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,006,2021-06-29 18:42:26.758,A69-1602,65478,74.0,38.5,0,#A0,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,007,2021-06-29 18:42:34.938,A69-1602,65478,67.0,41.0,0,#97,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,008,2021-06-29 18:42:43.115,A69-1602,65478,73.0,39.0,0,#8F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,009,2021-06-29 18:42:51.294,A69-1602,65478,72.0,41.5,0,#94,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,010,2021-06-29 18:42:59.473,A69-1602,65478,72.5,41.5,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,011,2021-06-29 18:43:07.652,A69-1602,65478,70.0,39.0,0,#8D,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,012,2021-06-29 18:43:15.829,A69-1602,65478,78.5,33.5,0,#9F,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,013,2021-06-29 18:43:24.007,A69-1602,65478,79.5,39.0,0,#96,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,014,2021-06-29 18:43:32.186,A69-1602,65478,67.5,40.5,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,015,2021-06-29 18:43:40.368,A69-1602,65478,71.0,43.0,0,#8E,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,016,2021-06-29 18:43:48.549,A69-1602,65478,71.0,42.0,0,#97,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,018,2021-06-29 18:43:56.730,A69-1602,65478,68.0,44.0,0,#98,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,019,2021-06-29 18:44:13.090,A69-1602,65478,72.5,38.5,0,#9A,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,020,2021-06-29 18:44:21.269,A69-1602,65478,70.5,40.5,0,#90,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,021,2021-06-29 18:44:37.624,A69-1602,65478,81.0,35.5,0,#94,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

457012,022,2021-06-29 18:44:45.803,A69-1602,65478,64.0,32.5,0,#91,52,"(33.75222, -118.12803)","(33.75227, -118.12857)"

