Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,761,2021-07-21 13:21:46.726,A69-1602,65477,53.0,21.0,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,0,0.0,0.0
457049,762,2021-07-21 13:21:54.905,A69-1602,65477,53.0,21.0,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,0,7.142857142916625e-05,0.10428571428658273
457049,763,2021-07-21 13:22:03.084,A69-1602,65477,53.5,21.0,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.358,0,0.0001428571428583325,0.20857142857316546
457049,764,2021-07-21 13:22:11.264,A69-1602,65477,52.0,21.0,0,#87,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.538,0,0.000785714285711947,1.1471428571394426
457049,765,2021-07-21 13:22:19.443,A69-1602,65477,53.5,21.0,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.716357,0,7.12857142843859e-05,0.10407714285520342
457049,766,2021-07-21 13:22:27.622,A69-1602,65477,53.5,21.0,0,#94,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.895357,0,1.4285715010942113e-07,0.00020857143915975485
457049,767,2021-07-21 13:22:35.801,A69-1602,65477,50.0,21.0,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.074357,0,7.157142857749932e-05,0.104494285723149
457049,769,2021-07-21 13:23:24.876,A69-1602,65477,49.0,20.5,0,#A4,"(34.109135, -117.71281)","(34.109172, -117.71241)",98.149357,0,0.0004998571428416199,0.729791428548765
457049,771,2021-07-21 13:23:49.414,A69-1602,65477,50.5,20.5,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",122.686286,0,0.00021457142855396683,0.31327428568879157
457049,772,2021-07-21 13:23:57.591,A69-1602,65477,58.0,20.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",130.863286,0,0.0018568571428829728,2.7110114286091402
457049,773,2021-07-21 13:24:05.770,A69-1602,65477,57.0,20.5,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",139.039573,0,0.004641285714310328,6.776277142893079
457049,774,2021-07-21 13:24:13.950,A69-1602,65477,59.0,20.5,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",147.214075,0,0.009210714285721622,13.447642857153568
457049,775,2021-07-21 13:24:22.129,A69-1602,65477,59.0,20.5,0,#98,"(34.109135, -117.71281)","(34.109172, -117.71241)",155.383008,0,0.01934914285716971,28.249748571467777
457049,776,2021-07-21 13:24:30.308,A69-1602,65477,60.0,20.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.541802,0,0.03962657142859882,57.85479428575428
457049,777,2021-07-21 13:24:38.487,A69-1602,65477,63.5,21.0,0,#A4,"(34.109135, -117.71281)","(34.109172, -117.71241)",171.680319,0,0.08018100000002093,117.06426000003056
457049,779,2021-07-21 13:24:46.666,A69-1602,65477,63.0,21.0,0,#9F,"(34.109135, -117.71281)","(34.109172, -117.71241)",179.778281,0,0.16129042857145492,235.4840257143242
457049,780,2021-07-21 13:24:54.845,A69-1602,65477,63.5,21.0,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",187.795134,0,7.855562571428543,11469.121354285673
457049,781,2021-07-21 13:25:03.025,A69-1602,65477,63.5,20.5,0,#90,"(34.109135, -117.71281)","(34.109172, -117.71241)",188.118715,0,7.214285713175173e-05,0.10532857141235752
457049,782,2021-07-21 13:25:11.204,A69-1602,65477,63.5,21.0,0,#8B,"(34.109135, -117.71281)","(34.109172, -117.71241)",196.297715,0,7.142857043618278e-07,0.0010428571283682686
457049,783,2021-07-21 13:25:19.383,A69-1602,65477,64.0,20.5,0,#9C,"(34.109135, -117.71281)","(34.109172, -117.71241)",204.476715,0,7.071428572302807e-05,0.10324285715562098
457049,784,2021-07-21 13:25:27.562,A69-1602,65477,63.5,21.0,0,#9B,"(34.109135, -117.71281)","(34.109172, -117.71241)",212.655715,0,0.00014214285717883968,0.20752857148110593
457049,785,2021-07-21 13:25:35.741,A69-1602,65477,64.0,20.5,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",220.834715,0,0.00021357142860622957,0.3118142857650952
457049,787,2021-07-21 13:25:43.920,A69-1602,65477,63.5,20.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",229.013715,0,0.00028500000003361947,0.41610000004908443
457049,788,2021-07-21 13:25:52.099,A69-1602,65477,64.0,20.5,0,#A2,"(34.109135, -117.71281)","(34.109172, -117.71241)",237.192715,0,0.00035642857146100937,0.5203857143330737
457049,789,2021-07-21 13:26:00.281,A69-1602,65477,64.0,20.5,0,#96,"(34.109135, -117.71281)","(34.109172, -117.71241)",245.374715,0,0.0025721428571259253,3.755328571403851
457049,790,2021-07-21 13:26:08.460,A69-1602,65477,64.0,21.0,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",245.69508,0,0.32293714285710706,471.48822857137634
457049,791,2021-07-21 13:26:16.639,A69-1602,65477,69.5,20.5,0,#A7,"(34.109135, -117.71281)","(34.109172, -117.71241)",245.69508,0,0.32293714285710706,471.48822857137634
457049,792,2021-07-21 13:26:24.818,A69-1602,65477,71.5,20.5,0,#9F,"(34.109135, -117.71281)","(34.109172, -117.71241)",253.87408,0,0.3228657142856797,471.38394285709234
457049,793,2021-07-21 13:26:32.998,A69-1602,65477,72.0,20.5,0,#A4,"(34.109135, -117.71281)","(34.109172, -117.71241)",262.05408,0,0.32379428571425706,472.7396571428153
457049,794,2021-07-21 13:26:41.177,A69-1602,65477,58.0,21.0,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",262.053152,0,0.32286628571426945,471.3847771428334
457049,796,2021-07-21 13:26:49.356,A69-1602,65477,58.5,20.5,0,#AC,"(34.109135, -117.71281)","(34.109172, -117.71241)",270.232152,0,0.32279485714281364,471.2804914285079
