Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457012,225,2021-07-22 13:45:47.521,A69-1602,65477,82.5,38.5,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,0,0.0,0.0
457012,226,2021-07-22 13:45:55.700,A69-1602,65477,82.0,37.5,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,0,7.142857142916625e-05,0.10428571428658273
457012,227,2021-07-22 13:46:03.879,A69-1602,65477,81.5,38.0,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.358,0,0.0001428571428583325,0.20857142857316546
457012,228,2021-07-22 13:46:12.058,A69-1602,65477,82.0,38.0,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.537,0,0.00021428571428927512,0.3128571428623417
457012,230,2021-07-22 13:46:20.238,A69-1602,65477,82.0,38.0,0,#84,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.717,0,0.0007142857142810044,1.0428571428502664
457012,231,2021-07-22 13:46:28.417,A69-1602,65477,82.0,41.0,0,#86,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.896,0,0.0006428571428536145,0.9385714285662772
457012,232,2021-07-22 13:46:36.596,A69-1602,65477,82.0,42.0,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.075,0,0.0005714285714262246,0.8342857142822879
457012,233,2021-07-22 13:46:44.775,A69-1602,65477,82.0,41.0,0,#8D,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.254,0,0.0004999999999917293,0.7299999999879248
457012,234,2021-07-22 13:46:52.955,A69-1602,65477,81.5,37.0,0,#96,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.434,0,0.0014285714285620088,2.085714285700533
457012,235,2021-07-22 13:47:01.134,A69-1602,65477,82.0,36.0,0,#82,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.612071,0,0.001357142857134619,1.9814285714165436
457012,236,2021-07-22 13:47:09.313,A69-1602,65477,82.0,36.5,0,#8F,"(34.109135, -117.71281)","(34.109172, -117.71241)",81.791071,0,0.001285714285707229,1.8771428571325544
457012,237,2021-07-22 13:47:17.492,A69-1602,65477,82.0,35.5,0,#96,"(34.109135, -117.71281)","(34.109172, -117.71241)",89.970071,0,0.0012142857142798391,1.772857142848565
457012,239,2021-07-22 13:47:25.671,A69-1602,65477,82.0,36.0,0,#92,"(34.109135, -117.71281)","(34.109172, -117.71241)",98.149071,0,0.0011428571428524492,1.6685714285645759
457012,240,2021-07-22 13:47:33.850,A69-1602,65477,82.5,36.5,0,#92,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.328071,0,0.0010714285714108485,1.5642857142598388
457012,241,2021-07-22 13:47:42.029,A69-1602,65477,82.5,36.0,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.507071,0,0.0009999999999834586,1.4599999999758495
