Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457039,376,2021-02-22 21:16:17.517,A69-1602,65477,59.5,38.0,0,#9E,"(33.75255, -118.12888)","(33.750672, -118.128558)",10796.49,52,0.09701324949383383,141.6393442609974
457039,378,2021-02-22 21:16:25.697,A69-1602,65477,59.5,37.5,0,#AC,"(33.75255, -118.12888)","(33.750672, -118.128558)",10804.67,52,0.09779175087891331,142.77595628321345
457039,379,2021-02-22 21:16:42.055,A69-1602,65477,58.5,36.0,0,#99,"(33.75255, -118.12888)","(33.750672, -118.128558)",10821.028,52,0.09767198143523731,142.60109289544647
457039,380,2021-02-22 21:16:50.234,A69-1602,65477,59.5,36.0,0,#90,"(33.75255, -118.12888)","(33.750672, -118.128558)",10829.207,52,0.09761209671339931,142.513661201563
457039,382,2021-02-22 21:16:58.414,A69-1602,65477,60.0,36.5,0,#92,"(33.75255, -118.12888)","(33.750672, -118.128558)",10837.386999999999,52,0.0983905980984788,143.65027322377907
457039,383,2021-02-22 21:17:06.595,A69-1602,65477,58.0,36.5,0,#9E,"(33.75255, -118.12888)","(33.750672, -118.128558)",10845.567221,52,0.10000748558895076,146.0109289598681
457039,384,2021-02-22 21:17:14.774,A69-1602,65477,60.5,35.0,0,#95,"(33.75255, -118.12888)","(33.750672, -118.128558)",10853.745256999999,52,0.09994760086711275,145.92349726598462
457039,386,2021-02-22 21:17:22.953,A69-1602,65477,59.0,37.5,0,#9F,"(33.75255, -118.12888)","(33.750672, -118.128558)",10861.924256999999,52,0.09988771614527475,145.83606557210115
457039,387,2021-02-22 21:17:31.133,A69-1602,65477,58.5,35.0,0,#93,"(33.75255, -118.12888)","(33.750672, -118.128558)",10870.104256999999,52,0.10066621753035425,146.9726775943172
457039,388,2021-02-22 21:17:39.312,A69-1602,65477,59.0,35.0,0,#97,"(33.75255, -118.12888)","(33.750672, -118.128558)",10878.282478000001,52,0.10060633280851625,146.88524590043372
457039,389,2021-02-22 21:17:47.491,A69-1602,65477,57.5,34.0,0,#A1,"(33.75255, -118.12888)","(33.750672, -118.128558)",10886.461478,52,0.10054644808667824,146.79781420655024
457039,391,2021-02-22 21:17:55.670,A69-1602,65477,58.0,34.5,0,#99,"(33.75255, -118.12888)","(33.750672, -118.128558)",10894.640478,52,0.10048656336484024,146.71038251266674
457039,392,2021-02-22 21:18:03.850,A69-1602,65477,58.0,34.5,0,#94,"(33.75255, -118.12888)","(33.750672, -118.128558)",10902.820478,52,0.10126506474991973,147.8469945348828
457039,393,2021-02-22 21:18:12.028,A69-1602,65477,61.5,34.5,0,#91,"(33.75255, -118.12888)","(33.750672, -118.128558)",10910.997699,52,0.10036679392116424,146.5355191248998
457039,394,2021-02-22 21:18:20.207,A69-1602,65477,59.5,34.0,0,#92,"(33.75255, -118.12888)","(33.750672, -118.128558)",10919.176699,52,0.10030690919932624,146.4480874310163
457039,396,2021-02-22 21:18:28.386,A69-1602,65477,62.0,34.0,0,#99,"(33.75255, -118.12888)","(33.750672, -118.128558)",10927.355699,52,0.10024702447748823,146.36065573713282
457039,397,2021-02-22 21:18:36.565,A69-1602,65477,58.5,34.0,0,#A2,"(33.75255, -118.12888)","(33.750672, -118.128558)",10935.534699,52,0.10018713975565023,146.27322404324934
457039,398,2021-02-22 21:18:44.745,A69-1602,65477,60.5,34.5,0,#A0,"(33.75255, -118.12888)","(33.750672, -118.128558)",10943.714699,52,0.10096564114072971,147.40983606546538
457039,400,2021-02-22 21:18:52.924,A69-1602,65477,60.0,34.5,0,#89,"(33.75255, -118.12888)","(33.750672, -118.128558)",10951.89292,52,0.10090575641889171,147.3224043715819
