Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Distance (m),Tag GPS Coords,Sensor GPS Coords,Time (s),Time of Flight (s),Predicted Distance (m)
457012,173,2021-07-09 00:05:29.096,A69-1602,65477,82.5,56.5,0,#9B,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,0.0,0.0
457012,175,2021-07-09 00:05:37.275,A69-1602,65477,82.5,56.5,0,#9B,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,0.0,0.0
457012,176,2021-07-09 00:05:45.454,A69-1602,65477,82.0,56.5,0,#95,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.358,0.0,0.0
457012,177,2021-07-09 00:05:53.633,A69-1602,65477,82.0,56.5,0,#94,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.537,1.7763568394002505e-15,2.6645352591003757e-12
457012,178,2021-07-09 00:06:01.812,A69-1602,65477,82.0,56.5,0,#8E,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.716,0.0,0.0
457012,179,2021-07-09 00:06:09.992,A69-1602,65477,81.0,56.5,0,#9F,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.896,0.0009999999999994458,1.4999999999991687
457012,180,2021-07-09 00:06:18.170,A69-1602,65477,82.0,56.5,0,#8C,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.074,3.552713678800501e-15,5.329070518200751e-12
457012,181,2021-07-09 00:06:26.350,A69-1602,65477,82.0,56.5,0,#8C,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.254,0.000999999999995893,1.4999999999938396
457012,183,2021-07-09 00:06:34.529,A69-1602,65477,82.5,56.5,0,#9A,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.433,0.0010000000000047748,1.5000000000071623
457012,184,2021-07-09 00:06:42.708,A69-1602,65477,82.0,56.5,0,#94,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.612,0.0009999999999923403,1.4999999999885105
457012,185,2021-07-09 00:06:50.887,A69-1602,65477,82.0,56.5,0,#9C,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",81.791,0.0009999999999941167,1.499999999991175
457012,186,2021-07-09 00:06:59.066,A69-1602,65477,82.5,56.5,0,#A0,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",89.97,0.000999999999995893,1.4999999999938396
457012,187,2021-07-09 00:07:07.245,A69-1602,65477,82.5,56.5,0,#9A,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",98.149,0.0009999999999976694,1.4999999999965041
457012,188,2021-07-09 00:07:15.424,A69-1602,65477,81.5,56.5,0,#98,10,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.328,0.0009999999999994458,1.4999999999991687
