Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,178,2021-07-23 03:51:52.721,A69-1602,65477,82.0,35.5,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",408.982,38,0.028428571428555927,41.50571428569165
457049,179,2021-07-23 03:52:00.900,A69-1602,65477,82.0,36.0,0,#8F,"(33.750672, -118.122642)","(33.752228, -118.12863)",417.161,38,0.028357142857100115,41.40142857136617
457049,181,2021-07-23 03:52:09.079,A69-1602,65477,82.0,37.5,0,#9E,"(33.750672, -118.122642)","(33.752228, -118.12863)",425.34,38,0.028285714285644303,41.29714285704068
457049,182,2021-07-23 03:52:17.258,A69-1602,65477,81.5,37.5,0,#A1,"(33.750672, -118.122642)","(33.752228, -118.12863)",433.519,38,0.028214285714245335,41.19285714279819
457049,183,2021-07-23 03:52:25.438,A69-1602,65477,82.0,37.0,0,#98,"(33.750672, -118.122642)","(33.752228, -118.12863)",441.699,38,0.02914285714282272,42.54857142852117
457049,184,2021-07-23 03:52:33.616,A69-1602,65477,82.5,36.0,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",449.876071,38,0.027142428571405475,39.62794571425199
457049,185,2021-07-23 03:52:41.796,A69-1602,65477,82.0,40.0,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",458.056071,38,0.028070999999926016,40.983659999891984
457049,186,2021-07-23 03:52:49.974,A69-1602,65477,81.5,38.5,0,#B0,"(33.750672, -118.122642)","(33.752228, -118.12863)",466.233142,38,0.02607057142850877,38.063034285622805
457049,187,2021-07-23 03:52:58.153,A69-1602,65477,82.0,36.5,0,#A0,"(33.750672, -118.122642)","(33.752228, -118.12863)",474.412142,38,0.025999142857109803,37.95874857138031
457049,189,2021-07-23 03:53:06.333,A69-1602,65477,82.0,34.5,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",482.592142,38,0.026927714285687188,39.314462857103294
457049,190,2021-07-23 03:53:14.512,A69-1602,65477,81.5,35.0,0,#90,"(33.750672, -118.122642)","(33.752228, -118.12863)",490.770213,38,0.025927285714246295,37.85383714279959
457049,191,2021-07-23 03:53:22.691,A69-1602,65477,82.0,36.0,0,#95,"(33.750672, -118.122642)","(33.752228, -118.12863)",498.949213,38,0.025855857142790484,37.749551428474106
457049,192,2021-07-23 03:53:30.870,A69-1602,65477,82.0,37.5,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",507.128213,38,0.025784428571391516,37.64526571423161
457049,193,2021-07-23 03:53:39.049,A69-1602,65477,82.0,36.0,0,#9C,"(33.750672, -118.122642)","(33.752228, -118.12863)",515.307213,38,0.025712999999992547,37.54097999998912
457049,194,2021-07-23 03:53:47.228,A69-1602,65477,82.0,35.0,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",523.486213,38,0.025641571428536736,37.436694285663634
457049,195,2021-07-23 03:53:55.407,A69-1602,65477,82.0,35.0,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",531.665213,38,0.025570142857080924,37.33240857133815
457049,196,2021-07-23 03:54:03.586,A69-1602,65477,82.0,36.0,0,#9D,"(33.750672, -118.122642)","(33.752228, -118.12863)",539.844213,38,0.025498714285625113,37.228122857012664
457049,198,2021-07-23 03:54:11.766,A69-1602,65477,82.0,37.0,0,#9F,"(33.750672, -118.122642)","(33.752228, -118.12863)",548.024213,38,0.02642728571425934,38.58383714281864
457049,199,2021-07-23 03:54:19.945,A69-1602,65477,82.0,36.0,0,#A6,"(33.750672, -118.122642)","(33.752228, -118.12863)",556.202284,38,0.025426857142761605,37.123211428431944
457049,200,2021-07-23 03:54:28.124,A69-1602,65477,81.5,36.5,0,#93,"(33.750672, -118.122642)","(33.752228, -118.12863)",564.381284,38,0.02535542857141948,37.01892571427244
457049,201,2021-07-23 03:54:36.303,A69-1602,65477,81.5,37.5,0,#93,"(33.750672, -118.122642)","(33.752228, -118.12863)",572.560284,38,0.02528399999996367,36.91463999994696
457049,202,2021-07-23 03:54:44.482,A69-1602,65477,81.5,34.5,0,#98,"(33.750672, -118.122642)","(33.752228, -118.12863)",580.739284,38,0.025212571428507857,36.81035428562147
457049,203,2021-07-23 03:54:52.661,A69-1602,65477,82.0,35.5,0,#94,"(33.750672, -118.122642)","(33.752228, -118.12863)",588.918284,38,0.025141142857052046,36.70606857129599
457049,204,2021-07-23 03:55:00.841,A69-1602,65477,81.5,34.5,0,#92,"(33.750672, -118.122642)","(33.752228, -118.12863)",597.098284,38,0.026069714285686274,38.06178285710196
457049,206,2021-07-23 03:55:09.020,A69-1602,65477,81.5,35.0,0,#8E,"(33.750672, -118.122642)","(33.752228, -118.12863)",605.276355,38,0.02506928571418854,36.601157142715266
457049,207,2021-07-23 03:55:17.199,A69-1602,65477,82.0,35.0,0,#9B,"(33.750672, -118.122642)","(33.752228, -118.12863)",613.455355,38,0.024997857142846414,36.496871428555764
457049,208,2021-07-23 03:55:25.378,A69-1602,65477,82.0,35.5,0,#9F,"(33.750672, -118.122642)","(33.752228, -118.12863)",621.634355,38,0.024926428571390602,36.39258571423028
457049,209,2021-07-23 03:55:33.557,A69-1602,65477,82.0,36.0,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",629.813355,38,0.02485499999993479,36.288299999904794
457049,210,2021-07-23 03:55:41.736,A69-1602,65477,81.5,36.5,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",637.992355,38,0.02478357142847898,36.18401428557931
457049,211,2021-07-23 03:55:49.915,A69-1602,65477,82.0,37.0,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",646.171355,38,0.024712142857023167,36.079728571253824
457049,212,2021-07-23 03:55:58.094,A69-1602,65477,82.0,36.5,0,#9C,"(33.750672, -118.122642)","(33.752228, -118.12863)",654.350355,38,0.024640714285681042,35.97544285709432
457049,214,2021-07-23 03:56:06.274,A69-1602,65477,81.5,36.5,0,#9C,"(33.750672, -118.122642)","(33.752228, -118.12863)",662.530355,38,0.025569285714201584,37.33115714273431
457049,215,2021-07-23 03:56:14.453,A69-1602,65477,81.5,35.5,0,#9A,"(33.750672, -118.122642)","(33.752228, -118.12863)",670.708426,38,0.024568857142817535,35.8705314285136
457049,216,2021-07-23 03:56:22.632,A69-1602,65477,81.5,35.5,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",678.887426,38,0.024497428571361723,35.766245714188116
457049,217,2021-07-23 03:56:30.811,A69-1602,65477,81.5,36.5,0,#99,"(33.750672, -118.122642)","(33.752228, -118.12863)",687.066426,38,0.024425999999905912,35.66195999986263
457049,218,2021-07-23 03:56:38.990,A69-1602,65477,82.0,35.0,0,#A0,"(33.750672, -118.122642)","(33.752228, -118.12863)",695.245426,38,0.0243545714284501,35.557674285537146
457049,219,2021-07-23 03:56:47.169,A69-1602,65477,81.5,36.0,0,#A4,"(33.750672, -118.122642)","(33.752228, -118.12863)",703.424426,38,0.024283142857107975,35.453388571377644
457049,220,2021-07-23 03:56:55.348,A69-1602,65477,82.0,36.5,0,#9B,"(33.750672, -118.122642)","(33.752228, -118.12863)",711.603426,38,0.024211714285652164,35.34910285705216
