Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel
457012,002,2020-08-21 15:11:17.167,A69-1602,65477,82.0,27.0,0,#7F
457012,003,2020-08-21 15:11:25.346,A69-1602,65477,82.0,26.5,0,#82
457012,004,2020-08-21 15:11:33.525,A69-1602,65477,82.0,28.5,0,#83
457012,005,2020-08-21 15:11:41.705,A69-1602,65477,82.0,26.0,0,#7C
457012,006,2020-08-21 15:11:49.884,A69-1602,65477,82.0,26.0,0,#8D
457012,007,2020-08-21 15:11:58.063,A69-1602,65477,82.0,27.0,0,#84
457012,008,2020-08-21 15:12:06.242,A69-1602,65477,82.0,26.5,0,#82
457012,009,2020-08-21 15:12:14.421,A69-1602,65477,82.0,28.0,0,#7E
""
""
#9:31
""
""
457012,010,2020-08-21 15:12:22.600,A69-1602,65477,82.0,26.5,0,#77
457012,011,2020-08-21 15:12:30.779,A69-1602,65477,82.0,31.0,0,#7F
457012,012,2020-08-21 15:12:38.958,A69-1602,65477,82.0,29.0,0,#8E
457012,013,2020-08-21 15:12:47.138,A69-1602,65477,68.5,31.0,0,#87
457012,014,2020-08-21 15:12:55.317,A69-1602,65477,67.0,25.5,0,#88
457012,015,2020-08-21 15:13:03.496,A69-1602,65477,71.0,27.5,0,#88
457012,016,2020-08-21 15:13:11.675,A69-1602,65477,71.0,28.0,0,#83
457012,017,2020-08-21 15:13:19.856,A69-1602,65477,66.5,25.0,0,#93
457012,018,2020-08-21 15:13:28.034,A69-1602,65477,82.0,34.0,0,#81
457012,019,2020-08-21 15:13:36.214,A69-1602,65477,82.0,28.5,0,#89
457012,020,2020-08-21 15:13:44.396,A69-1602,65477,82.0,30.0,0,#7F
457012,021,2020-08-21 15:13:52.575,A69-1602,65477,82.0,27.0,0,#84
""
#9:32
""
""
457012,022,2020-08-21 15:14:00.755,A69-1602,65477,81.5,28.0,0,#84
457012,023,2020-08-21 15:14:17.116,A69-1602,65477,50.5,24.0,0,#7C
457012,024,2020-08-21 15:14:25.295,A69-1602,65477,50.0,22.5,0,#82
457012,025,2020-08-21 15:14:33.476,A69-1602,65477,49.5,24.0,0,#8D
457012,026,2020-08-21 15:14:41.656,A69-1602,65477,48.5,23.5,0,#90
457012,027,2020-08-21 15:14:49.835,A69-1602,65477,48.5,23.0,0,#93
457012,028,2020-08-21 15:14:58.013,A69-1602,65477,80.5,32.0,0,#84
457012,029,2020-08-21 15:15:06.193,A69-1602,65477,80.0,30.0,0,#81
457012,031,2020-08-21 15:15:14.373,A69-1602,65477,80.5,26.0,0,#83
457012,032,2020-08-21 15:15:22.552,A69-1602,65477,78.5,25.5,0,#8D
##457012,033,2020-08-21 15:15:30.732,A69-1602,65477,80.5,30.0,0,#7D
""
""
#9:34
""
""
457012,034,2020-08-21 15:15:55.273,A69-1602,65477,58.5,24.0,0,#8D
457012,035,2020-08-21 15:16:03.450,A69-1602,65477,56.5,24.5,0,#88
457012,036,2020-08-21 15:16:11.630,A69-1602,65477,58.5,23.5,0,#89
457012,037,2020-08-21 15:16:19.810,A69-1602,65477,55.5,25.0,0,#8C
457012,038,2020-08-21 15:16:27.991,A69-1602,65477,54.5,25.0,0,#95
457012,039,2020-08-21 15:16:36.171,A69-1602,65477,57.0,25.5,0,#8F
457012,040,2020-08-21 15:16:44.351,A69-1602,65477,80.0,26.5,0,#83
457012,041,2020-08-21 15:16:52.530,A69-1602,65477,80.0,29.0,0,#80
457012,042,2020-08-21 15:17:00.709,A69-1602,65477,79.5,28.5,0,#94
457012,043,2020-08-21 15:17:08.889,A69-1602,65477,79.5,26.5,0,#A4
#9457012,045,2020-08-21 15:17:17.068,A69-1602,65477,79.0,26.0,0,#91
""
""
#9:35
""
457012,046,2020-08-21 15:17:33.428,A69-1602,65477,55.5,34.0,0,#8E
457012,047,2020-08-21 15:17:41.607,A69-1602,65477,57.0,27.0,0,#8C
457012,048,2020-08-21 15:17:49.789,A69-1602,65477,56.5,30.5,0,#A3
457012,049,2020-08-21 15:17:57.969,A69-1602,65477,55.5,24.0,0,#A0
457012,050,2020-08-21 15:18:14.328,A69-1602,65477,78.0,25.0,0,#88
457012,051,2020-08-21 15:18:22.507,A69-1602,65477,74.5,26.0,0,#89
457012,052,2020-08-21 15:18:30.687,A69-1602,65477,74.0,27.0,0,#8E
457012,053,2020-08-21 15:18:38.866,A69-1602,65477,76.0,25.0,0,#96
457012,054,2020-08-21 15:18:47.045,A69-1602,65477,74.5,24.5,0,#93
457012,055,2020-08-21 15:18:55.224,A69-1602,65477,77.0,24.5,0,#90
457012,056,2020-08-21 15:19:03.402,A69-1602,65477,75.0,24.5,0,#87
457012,058,2020-08-21 15:19:11.583,A69-1602,65477,73.5,29.0,0,#95
457012,059,2020-08-21 15:19:19.761,A69-1602,65477,74.5,26.0,0,#9A
""
""
#9:37
457012,060,2020-08-21 15:19:36.119,A69-1602,65477,55.0,25.5,0,#8C
457012,061,2020-08-21 15:19:52.477,A69-1602,65477,41.0,24.5,0,#8C
457012,062,2020-08-21 15:20:00.656,A69-1602,65477,40.5,22.5,0,#7F
457012,063,2020-08-21 15:20:25.193,A69-1602,65477,40.0,24.0,0,#7B
457012,064,2020-08-21 15:20:33.373,A69-1602,65477,39.0,23.0,0,#82
457012,065,2020-08-21 15:20:49.731,A69-1602,65477,40.5,22.0,0,#84
457012,066,2020-08-21 15:20:57.911,A69-1602,65477,40.0,22.0,0,#7F
""
""
""
""
#9:41 no real data for a while
""
457012,067,2020-08-21 15:21:06.092,A69-1602,65477,42.0,22.5,0,#82
457012,068,2020-08-21 15:21:14.271,A69-1602,65477,43.5,20.5,0,#85
457012,069,2020-08-21 15:21:22.451,A69-1602,65477,42.0,21.5,0,#80
457012,070,2020-08-21 15:21:30.630,A69-1602,65477,76.5,27.5,0,#88
457012,071,2020-08-21 15:21:38.809,A69-1602,65477,76.5,28.0,0,#95
457012,072,2020-08-21 15:21:46.989,A69-1602,65477,77.5,27.5,0,#A3
457012,073,2020-08-21 15:21:55.170,A69-1602,65477,76.5,28.0,0,#8D
457012,074,2020-08-21 15:22:03.350,A69-1602,65477,78.0,25.0,0,#82
457012,075,2020-08-21 15:22:11.529,A69-1602,65477,77.0,29.5,0,#92
457012,076,2020-08-21 15:22:19.708,A69-1602,65477,78.5,25.5,0,#9C
457012,077,2020-08-21 15:22:27.888,A69-1602,65477,79.5,32.5,0,#A4
457012,078,2020-08-21 15:22:52.426,A69-1602,65477,50.5,27.0,0,#8B
457012,079,2020-08-21 15:23:00.605,A69-1602,65477,52.0,23.0,0,#7E
457012,080,2020-08-21 15:23:16.962,A69-1602,65477,51.0,22.0,0,#81
457012,081,2020-08-21 15:23:25.139,A69-1602,65477,51.0,22.5,0,#83
457012,082,2020-08-21 15:23:33.317,A69-1602,65477,52.5,24.0,0,#84
457012,083,2020-08-21 15:23:41.494,A69-1602,65477,50.5,23.5,0,#8C
457012,084,2020-08-21 15:23:49.672,A69-1602,65477,51.5,22.0,0,#8E
457012,085,2020-08-21 15:23:57.849,A69-1602,65477,53.0,22.0,0,#91
457012,086,2020-08-21 15:24:06.026,A69-1602,65477,52.5,22.5,0,#89
457012,088,2020-08-21 15:24:14.203,A69-1602,65477,53.5,26.5,0,#8C
457012,089,2020-08-21 15:24:22.382,A69-1602,65477,55.0,23.0,0,#89
457012,090,2020-08-21 15:24:30.560,A69-1602,65477,55.0,22.5,0,#82
457012,091,2020-08-21 15:24:38.739,A69-1602,65477,56.5,24.0,0,#96
457012,092,2020-08-21 15:24:46.916,A69-1602,65477,54.0,22.0,0,#8A
457012,093,2020-08-21 15:24:55.094,A69-1602,65477,55.5,22.5,0,#93
457012,094,2020-08-21 15:25:03.273,A69-1602,65477,80.0,28.5,0,#8C
""
""
""
457012,095,2020-08-21 15:25:11.452,A69-1602,65477,81.5,27.0,0,#8B
457012,096,2020-08-21 15:25:19.631,A69-1602,65477,79.5,27.5,0,#9F
457012,097,2020-08-21 15:25:27.810,A69-1602,65477,80.0,27.0,0,#8C
457012,098,2020-08-21 15:25:35.989,A69-1602,65477,79.5,27.0,0,#AA
457012,099,2020-08-21 15:25:44.169,A69-1602,65477,80.5,26.5,0,#9D
457012,100,2020-08-21 15:25:52.348,A69-1602,65477,79.5,27.0,0,#8E
457012,101,2020-08-21 15:26:00.527,A69-1602,65477,73.0,26.5,0,#81
457012,102,2020-08-21 15:26:08.707,A69-1602,65477,74.5,27.0,0,#8C
457012,104,2020-08-21 15:26:16.885,A69-1602,65477,76.0,28.0,0,#92
457012,105,2020-08-21 15:26:25.064,A69-1602,65477,79.0,25.0,0,#88
457012,106,2020-08-21 15:26:33.242,A69-1602,65477,80.5,26.0,0,#84
""
""
#9:45
""
""
""
457012,107,2020-08-21 15:26:49.601,A69-1602,65477,61.0,25.0,0,#84
457012,108,2020-08-21 15:27:05.957,A69-1602,65477,63.0,25.5,0,#93
457012,109,2020-08-21 15:27:14.135,A69-1602,65477,62.0,28.5,0,#8A
457012,110,2020-08-21 15:27:22.312,A69-1602,65477,61.0,25.0,0,#75
