Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel
457012,015,2020-08-21 13:45:36.899,A69-1602,65479,82.0,56.5,0,#9E
457012,017,2020-08-21 13:45:44.857,A69-1602,65479,82.0,56.5,0,#99
457012,018,2020-08-21 13:45:52.816,A69-1602,65479,82.0,56.5,0,#94
457012,019,2020-08-21 13:46:00.775,A69-1602,65479,82.0,56.5,0,#93
457012,020,2020-08-21 13:46:08.734,A69-1602,65479,82.0,56.5,0,#8E
457012,021,2020-08-21 13:46:16.693,A69-1602,65479,82.0,56.5,0,#92
457012,022,2020-08-21 13:46:24.652,A69-1602,65479,82.0,56.0,0,#88
457012,024,2020-08-21 13:47:36.282,A69-1602,65479,82.0,56.0,0,#8D
457012,026,2020-08-21 13:47:44.241,A69-1602,65479,82.0,56.0,0,#89
457012,027,2020-08-21 13:47:52.200,A69-1602,65479,82.0,56.0,0,#84
457012,028,2020-08-21 13:48:00.159,A69-1602,65479,82.0,56.0,0,#8C
457012,029,2020-08-21 13:48:08.117,A69-1602,65479,82.5,56.0,0,#94
457012,030,2020-08-21 13:48:16.076,A69-1602,65479,82.0,56.0,0,#8A
457012,031,2020-08-21 13:48:24.035,A69-1602,65479,82.0,56.0,0,#85
457012,033,2020-08-21 13:49:35.666,A69-1602,65479,82.0,56.0,0,#94
457012,035,2020-08-21 13:49:43.625,A69-1602,65479,82.5,56.0,0,#95
457012,036,2020-08-21 13:49:51.587,A69-1602,65479,82.0,56.0,0,#97
457012,037,2020-08-21 13:49:59.545,A69-1602,65479,82.0,56.0,0,#9A
457012,038,2020-08-21 13:50:07.504,A69-1602,65479,82.0,56.0,0,#87
457012,039,2020-08-21 13:50:15.463,A69-1602,65479,82.0,56.0,0,#8B
457012,040,2020-08-21 13:50:23.422,A69-1602,65479,82.0,56.0,0,#7D
457012,042,2020-08-21 13:51:35.054,A69-1602,65479,82.0,56.0,0,#84
457012,044,2020-08-21 13:51:43.013,A69-1602,65479,82.0,56.0,0,#80
457012,045,2020-08-21 13:51:50.972,A69-1602,65479,82.0,56.5,0,#92
457012,046,2020-08-21 13:51:58.931,A69-1602,65479,82.0,56.5,0,#96
457012,047,2020-08-21 13:52:06.890,A69-1602,65479,82.0,56.5,0,#95
457012,048,2020-08-21 13:52:14.848,A69-1602,65479,82.0,56.5,0,#98
457012,049,2020-08-21 13:52:22.807,A69-1602,65479,82.0,56.5,0,#93
457012,051,2020-08-21 13:53:34.439,A69-1602,65479,82.5,56.0,0,#91
457012,053,2020-08-21 13:53:42.398,A69-1602,65479,82.0,56.0,0,#91
457012,054,2020-08-21 13:53:50.357,A69-1602,65479,81.5,56.0,0,#90
457012,055,2020-08-21 13:53:58.317,A69-1602,65479,81.5,56.5,0,#9A
457012,056,2020-08-21 13:54:06.275,A69-1602,65479,82.0,56.0,0,#8F
457012,057,2020-08-21 13:54:14.234,A69-1602,65479,82.0,56.0,0,#8A
457012,058,2020-08-21 13:54:22.193,A69-1602,65479,82.0,56.0,0,#8E
457012,060,2020-08-21 13:55:36.324,A69-1602,65478,82.0,55.5,0,#8C
457012,062,2020-08-21 13:55:42.630,A69-1602,65478,81.5,56.0,0,#8B
457012,063,2020-08-21 13:55:48.936,A69-1602,65478,82.0,56.5,0,#9C
457012,064,2020-08-21 13:55:55.242,A69-1602,65478,82.0,56.5,0,#91
457012,065,2020-08-21 13:56:01.548,A69-1602,65478,81.5,56.5,0,#97
457012,066,2020-08-21 13:56:07.855,A69-1602,65478,82.0,56.0,0,#96
457012,067,2020-08-21 13:56:14.161,A69-1602,65478,81.5,56.5,0,#94
457012,068,2020-08-21 13:56:20.467,A69-1602,65478,82.0,56.5,0,#97
457012,069,2020-08-21 13:56:26.773,A69-1602,65478,82.0,56.0,0,#99
457012,071,2020-08-21 13:57:38.512,A69-1602,65478,82.0,55.5,0,#91
457012,073,2020-08-21 13:57:46.691,A69-1602,65478,82.0,55.5,0,#9A
457012,074,2020-08-21 13:57:54.870,A69-1602,65478,82.0,55.5,0,#99
457012,075,2020-08-21 13:58:03.049,A69-1602,65478,82.0,55.5,0,#93
457012,076,2020-08-21 13:58:11.229,A69-1602,65478,82.0,55.5,0,#93
457012,077,2020-08-21 13:58:19.407,A69-1602,65478,82.0,55.5,0,#9A
457012,079,2020-08-21 13:59:33.021,A69-1602,65478,81.5,54.5,0,#94
457012,081,2020-08-21 13:59:41.200,A69-1602,65478,82.0,54.5,0,#87
457012,082,2020-08-21 13:59:49.379,A69-1602,65478,82.0,55.0,0,#9D
457012,083,2020-08-21 13:59:57.558,A69-1602,65478,82.5,55.0,0,#A1
457012,084,2020-08-21 14:00:05.737,A69-1602,65478,82.0,55.0,0,#88
457012,085,2020-08-21 14:00:13.916,A69-1602,65478,82.5,54.5,0,#90
457012,086,2020-08-21 14:00:22.096,A69-1602,65478,82.0,54.5,0,#8B
457012,088,2020-08-21 14:01:35.712,A69-1602,65478,82.0,53.5,0,#8C
457012,090,2020-08-21 14:01:43.891,A69-1602,65478,82.5,53.5,0,#91
457012,091,2020-08-21 14:01:52.070,A69-1602,65478,82.0,53.0,0,#7D
457012,092,2020-08-21 14:02:00.250,A69-1602,65478,81.5,53.0,0,#7C
457012,093,2020-08-21 14:02:08.429,A69-1602,65478,82.0,53.5,0,#8E
457012,094,2020-08-21 14:02:16.608,A69-1602,65478,82.0,53.5,0,#8D
457012,095,2020-08-21 14:02:24.787,A69-1602,65478,82.0,54.0,0,#91
457012,098,2020-08-21 14:03:38.400,A69-1602,65478,82.0,52.5,0,#8B
457012,099,2020-08-21 14:03:46.580,A69-1602,65478,82.0,52.5,0,#94
457012,100,2020-08-21 14:03:54.759,A69-1602,65478,82.0,52.5,0,#8A
457012,101,2020-08-21 14:04:02.938,A69-1602,65478,82.0,52.5,0,#84
457012,102,2020-08-21 14:04:11.117,A69-1602,65478,82.0,52.0,0,#75
457012,103,2020-08-21 14:04:19.296,A69-1602,65478,82.0,52.0,0,#86
457012,104,2020-08-21 14:04:27.475,A69-1602,65478,82.0,52.5,0,#8A
457012,106,2020-08-21 14:05:33.790,A69-1602,65477,82.0,52.0,0,#84
457012,108,2020-08-21 14:05:40.096,A69-1602,65477,81.5,52.0,0,#87
457012,109,2020-08-21 14:05:46.403,A69-1602,65477,82.0,52.0,0,#82
457012,110,2020-08-21 14:05:52.709,A69-1602,65477,82.0,52.5,0,#85
457012,111,2020-08-21 14:05:59.015,A69-1602,65477,81.5,52.0,0,#82
457012,112,2020-08-21 14:06:05.321,A69-1602,65477,82.0,52.0,0,#77
457012,113,2020-08-21 14:06:11.627,A69-1602,65477,81.5,52.0,0,#82
457012,114,2020-08-21 14:06:17.934,A69-1602,65477,82.0,51.5,0,#8A
457012,115,2020-08-21 14:06:24.240,A69-1602,65477,82.0,51.5,0,#7F
457012,117,2020-08-21 14:07:35.980,A69-1602,65477,82.5,56.5,0,#99
457012,119,2020-08-21 14:07:44.159,A69-1602,65477,82.5,56.5,0,#99
457012,120,2020-08-21 14:07:52.338,A69-1602,65477,82.0,56.5,0,#8A
457012,121,2020-08-21 14:08:00.517,A69-1602,65477,82.0,56.0,0,#7F
457012,122,2020-08-21 14:08:08.696,A69-1602,65477,82.0,53.0,0,#8D
457012,123,2020-08-21 14:08:16.876,A69-1602,65477,82.0,52.5,0,#91
457012,124,2020-08-21 14:08:25.055,A69-1602,65477,82.0,54.0,0,#84
457012,127,2020-08-21 14:09:38.669,A69-1602,65477,81.5,51.5,0,#9D
457012,128,2020-08-21 14:09:46.849,A69-1602,65477,81.5,51.0,0,#98
457012,129,2020-08-21 14:09:55.028,A69-1602,65477,82.0,51.0,0,#8A
457012,130,2020-08-21 14:10:03.207,A69-1602,65477,82.0,52.5,0,#78
457012,131,2020-08-21 14:10:11.386,A69-1602,65477,82.0,51.0,0,#7A
457012,132,2020-08-21 14:10:19.565,A69-1602,65477,82.0,51.0,0,#82
457012,134,2020-08-21 14:11:33.182,A69-1602,65477,82.0,51.0,0,#7C
457012,136,2020-08-21 14:11:41.361,A69-1602,65477,82.0,50.5,0,#80
457012,137,2020-08-21 14:11:49.540,A69-1602,65477,82.0,50.5,0,#88
457012,138,2020-08-21 14:11:57.720,A69-1602,65477,82.0,51.0,0,#84
