Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Distance (m),Tag GPS Coords,Sensor GPS Coords,Time (s),Time of Flight (s),Predicted Distance (m)
457012,86,2021-07-14 16:48:33.568,A69-1602,65477,82.5,39.0,0,#A3,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",4.414,0.0,0.0
457012,87,2021-07-14 16:48:41.746,A69-1602,65477,82.0,38.5,0,#A0,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",12.592,0.001071428571428612,1.5642857142857736
457012,88,2021-07-14 16:48:49.926,A69-1602,65477,82.5,38.0,0,#A9,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",20.772,0.0001428571428583325,0.20857142857316546
457012,89,2021-07-14 16:48:58.105,A69-1602,65477,82.5,38.0,0,#9F,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",28.951,0.00021428571428927512,0.3128571428623417
457012,90,2021-07-14 16:49:14.463,A69-1602,65477,82.5,36.0,0,#95,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",45.309,0.0003571428571440549,0.5214285714303202
457012,91,2021-07-14 16:49:22.643,A69-1602,65477,82.5,36.0,0,#95,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",53.489,0.0005714285714262246,0.8342857142822879
457012,93,2021-07-14 16:49:30.822,A69-1602,65477,82.5,35.5,0,#99,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",61.668,0.0004999999999917293,0.7299999999879248
457012,94,2021-07-14 16:49:39.001,A69-1602,65477,82.0,36.5,0,#94,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",69.847,0.0004285714285714448,0.6257142857143094
457012,95,2021-07-14 16:49:47.180,A69-1602,65477,82.5,36.0,0,#9C,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",78.026,0.00035714285712984406,0.5214285714095723
457012,96,2021-07-14 16:49:55.359,A69-1602,65477,82.0,36.0,0,#9F,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",86.205,0.00028571428570245416,0.4171428571255831
457012,97,2021-07-14 16:50:11.717,A69-1602,65477,82.5,35.5,0,#97,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",102.563,0.00014285714284767437,0.20857142855760458
457012,98,2021-07-14 16:50:19.897,A69-1602,65477,82.5,36.0,0,#A5,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",110.743,0.0010714285714108485,1.5642857142598388
457012,100,2021-07-14 16:50:28.075,A69-1602,65477,82.5,35.5,0,#8D,0,"(34.109135, -117.71281)","(34.109172, -117.71241)",118.921,7.105427357601002e-15,1.0373923942097463e-11
