Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel,Hex (A curse on both houses),Distance (m)
457012,2,2020-08-21 15:11:17,A69-1602,65477,82,27,0,#7F,5.75
457012,3,2020-08-21 15:11:25,A69-1602,65477,82,26.5,0,#82,5.75
457012,4,2020-08-21 15:11:34,A69-1602,65477,82,28.5,0,#83,5.75
457012,5,2020-08-21 15:11:42,A69-1602,65477,82,26,0,#7C,5.75
457012,6,2020-08-21 15:11:50,A69-1602,65477,82,26,0,#8D,5.75
457012,7,2020-08-21 15:11:58,A69-1602,65477,82,27,0,#84,5.75
457012,8,2020-08-21 15:12:06,A69-1602,65477,82,26.5,0,#82,5.75
457012,9,2020-08-21 15:12:14,A69-1602,65477,82,28,0,#7E,5.75
,,,,,,,,,
,,,,,,,,,
#9:31,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
457012,10,2020-08-21 15:12:23,A69-1602,65477,82,26.5,0,#77,14.53
457012,11,2020-08-21 15:12:31,A69-1602,65477,82,31,0,#7F,14.53
457012,12,2020-08-21 15:12:39,A69-1602,65477,82,29,0,#8E,14.53
457012,13,2020-08-21 15:12:47,A69-1602,65477,68.5,31,0,#87,14.53
457012,14,2020-08-21 15:12:55,A69-1602,65477,67,25.5,0,#88,14.53
457012,15,2020-08-21 15:13:03,A69-1602,65477,71,27.5,0,#88,14.53
457012,16,2020-08-21 15:13:12,A69-1602,65477,71,28,0,#83,14.53
457012,17,2020-08-21 15:13:20,A69-1602,65477,66.5,25,0,#93,14.53
457012,18,2020-08-21 15:13:28,A69-1602,65477,82,34,0,#81,14.53
457012,19,2020-08-21 15:13:36,A69-1602,65477,82,28.5,0,#89,14.53
457012,20,2020-08-21 15:13:44,A69-1602,65477,82,30,0,#7F,14.53
457012,21,2020-08-21 15:13:53,A69-1602,65477,82,27,0,#84,14.53
,,,,,,,,,
#9:32,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
457012,22,2020-08-21 15:14:01,A69-1602,65477,81.5,28,0,#84,27.31
457012,23,2020-08-21 15:14:17,A69-1602,65477,50.5,24,0,#7C,27.31
457012,24,2020-08-21 15:14:25,A69-1602,65477,50,22.5,0,#82,27.31
457012,25,2020-08-21 15:14:33,A69-1602,65477,49.5,24,0,#8D,27.31
457012,26,2020-08-21 15:14:42,A69-1602,65477,48.5,23.5,0,#90,27.31
457012,27,2020-08-21 15:14:50,A69-1602,65477,48.5,23,0,#93,27.31
457012,28,2020-08-21 15:14:58,A69-1602,65477,80.5,32,0,#84,27.31
457012,29,2020-08-21 15:15:06,A69-1602,65477,80,30,0,#81,27.31
457012,31,2020-08-21 15:15:14,A69-1602,65477,80.5,26,0,#83,27.31
457012,32,2020-08-21 15:15:23,A69-1602,65477,78.5,25.5,0,#8D,27.31
##457012,33,2020-08-21 15:15:31,A69-1602,65477,80.5,30,0,#7D,27.31
,,,,,,,,,
,,,,,,,,,
#9:34,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
457012,34,2020-08-21 15:15:55,A69-1602,65477,58.5,24,0,#8D,52.25
457012,35,2020-08-21 15:16:03,A69-1602,65477,56.5,24.5,0,#88,52.25
457012,36,2020-08-21 15:16:12,A69-1602,65477,58.5,23.5,0,#89,52.25
457012,37,2020-08-21 15:16:20,A69-1602,65477,55.5,25,0,#8C,52.25
