Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),C,Channel,Tag GPS Coords,Sensor GPS Coords,Time (s),Distance (m),Time of Flight (s),Predicted Distance (m)
457049,320,2021-07-22 13:56:22.330,A69-1602,65477,82.0,37.0,0,#89,"(34.109135, -117.71281)","(34.109172, -117.71241)",0.0,28,0.027142857142770538,39.628571428444985
457049,321,2021-07-22 13:56:30.509,A69-1602,65477,82.0,39.0,0,#93,"(34.109135, -117.71281)","(34.109172, -117.71241)",8.179,28,0.02707142857120104,39.52428571395352
457049,323,2021-07-22 13:56:38.687,A69-1602,65477,82.5,38.5,0,#AD,"(34.109135, -117.71281)","(34.109172, -117.71241)",16.357,28,0.02599999999988256,37.95999999982854
457049,324,2021-07-22 13:56:46.867,A69-1602,65477,82.0,37.5,0,#A7,"(34.109135, -117.71281)","(34.109172, -117.71241)",24.535929,28,0.02692857142851679,39.31571428563451
457049,325,2021-07-22 13:56:55.046,A69-1602,65477,81.5,40.5,0,#9B,"(34.109135, -117.71281)","(34.109172, -117.71241)",32.714929,28,0.02685714285694729,39.211428571143045
457049,326,2021-07-22 13:57:03.225,A69-1602,65477,82.0,39.5,0,#99,"(34.109135, -117.71281)","(34.109172, -117.71241)",40.893929,28,0.026785714285605167,39.10714285698354
457049,327,2021-07-22 13:57:11.404,A69-1602,65477,81.5,36.0,0,#94,"(34.109135, -117.71281)","(34.109172, -117.71241)",49.072928999999995,28,0.026714285714263042,39.00285714282404
457049,328,2021-07-22 13:57:19.583,A69-1602,65477,82.0,38.5,0,#A8,"(34.109135, -117.71281)","(34.109172, -117.71241)",57.251929000000004,28,0.026642857142693543,38.89857142833257
457049,329,2021-07-22 13:57:27.762,A69-1602,65477,82.0,42.0,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",65.430929,28,0.02657142857135142,38.79428571417307
457049,331,2021-07-22 13:57:35.940,A69-1602,65477,82.0,36.5,0,#9B,"(34.109135, -117.71281)","(34.109172, -117.71241)",73.608929,28,0.025499999999805567,37.22999999971613
457049,332,2021-07-22 13:57:44.120,A69-1602,65477,82.0,33.0,0,#8A,"(34.109135, -117.71281)","(34.109172, -117.71241)",81.787858,28,0.026428571428439795,38.5857142855221
457049,333,2021-07-22 13:57:52.298,A69-1602,65477,82.0,34.0,0,#9B,"(34.109135, -117.71281)","(34.109172, -117.71241)",89.965858,28,0.025357142857121318,37.021428571397124
457049,334,2021-07-22 13:58:00.477,A69-1602,65477,82.0,38.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",98.143787,28,0.02528571428555182,36.917142856905656
457049,335,2021-07-22 13:58:08.656,A69-1602,65477,82.0,38.0,0,#A1,"(34.109135, -117.71281)","(34.109172, -117.71241)",106.32164499999999,28,0.025214285714209694,36.812857142746154
457049,336,2021-07-22 13:58:16.835,A69-1602,65477,82.0,38.5,0,#A5,"(34.109135, -117.71281)","(34.109172, -117.71241)",114.49943200000001,28,0.025142857142640196,36.708571428254686
457049,337,2021-07-22 13:58:25.014,A69-1602,65477,82.0,38.5,0,#9B,"(34.109135, -117.71281)","(34.109172, -117.71241)",122.677148,28,0.02507142857129807,36.604285714095184
457049,338,2021-07-22 13:58:33.194,A69-1602,65477,82.0,37.0,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",130.855793,28,0.0259999999999323,37.95999999990116
457049,340,2021-07-22 13:58:41.373,A69-1602,65477,81.5,39.5,0,#A0,"(34.109135, -117.71281)","(34.109172, -117.71241)",139.034793,28,0.0259285714283628,37.85571428540969
457049,341,2021-07-22 13:58:49.552,A69-1602,65477,82.0,40.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",147.21379299999998,28,0.025857142857020676,37.75142857125019
457049,342,2021-07-22 13:58:57.731,A69-1602,65477,82.0,37.5,0,#A1,"(34.109135, -117.71281)","(34.109172, -117.71241)",155.39279299999998,28,0.02578571428567855,37.647142857090685
457049,343,2021-07-22 13:59:05.910,A69-1602,65477,82.0,38.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",163.57179299999999,28,0.025714285714109053,37.54285714259922
457049,344,2021-07-22 13:59:14.089,A69-1602,65477,82.0,35.5,0,#A1,"(34.109135, -117.71281)","(34.109172, -117.71241)",171.750793,28,0.02564285714276693,37.438571428439715
457049,345,2021-07-22 13:59:22.268,A69-1602,65477,82.0,33.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",179.929793,28,0.02557142857119743,37.33428571394825
457049,346,2021-07-22 13:59:30.447,A69-1602,65477,82.0,35.0,0,#9A,"(34.109135, -117.71281)","(34.109172, -117.71241)",188.108793,28,0.025499999999855305,37.229999999788745
457049,348,2021-07-22 13:59:38.626,A69-1602,65477,82.0,33.0,0,#A1,"(34.109135, -117.71281)","(34.109172, -117.71241)",196.287793,28,0.02542857142851318,37.12571428562924
457049,349,2021-07-22 13:59:46.805,A69-1602,65477,81.5,33.5,0,#A9,"(34.109135, -117.71281)","(34.109172, -117.71241)",204.466793,28,0.025357142856943682,37.021428571137776
457049,350,2021-07-22 13:59:54.984,A69-1602,65477,81.5,33.0,0,#A3,"(34.109135, -117.71281)","(34.109172, -117.71241)",212.64579300000003,28,0.025285714285601557,36.91714285697827
457049,351,2021-07-22 14:00:03.163,A69-1602,65477,82.0,34.5,0,#88,"(34.109135, -117.71281)","(34.109172, -117.71241)",220.82479300000003,28,0.02521428571403206,36.812857142486806
457049,352,2021-07-22 14:00:11.343,A69-1602,65477,81.5,34.5,0,#8C,"(34.109135, -117.71281)","(34.109172, -117.71241)",229.004793,28,0.026142857142666287,38.16857142829278
457049,353,2021-07-22 14:00:19.522,A69-1602,65477,81.5,37.0,0,#92,"(34.109135, -117.71281)","(34.109172, -117.71241)",237.183793,28,0.026071428571324162,38.06428571413328
457049,354,2021-07-22 14:00:27.701,A69-1602,65477,82.0,33.5,0,#8E,"(34.109135, -117.71281)","(34.109172, -117.71241)",245.362793,28,0.025999999999754664,37.95999999964181
457049,356,2021-07-22 14:00:35.881,A69-1602,65477,80.5,35.5,0,#9D,"(34.109135, -117.71281)","(34.109172, -117.71241)",253.54279300000002,28,0.026928571428388892,39.31571428544778
457049,357,2021-07-22 14:00:44.062,A69-1602,65477,80.5,36.0,0,#91,"(34.109135, -117.71281)","(34.109172, -117.71241)",261.723793,28,0.028857142856999474,42.13142857121923
457049,358,2021-07-22 14:00:52.238,A69-1602,65477,81.5,35.0,0,#96,"(34.109135, -117.71281)","(34.109172, -117.71241)",269.89979300000005,28,0.025785714285500916,37.64714285683134
457049,359,2021-07-22 14:01:00.419,A69-1602,65477,82.0,37.5,0,#95,"(34.109135, -117.71281)","(34.109172, -117.71241)",278.077722,28,0.027714285714111497,40.462857142602786
457049,360,2021-07-22 14:01:08.597,A69-1602,65477,82.0,37.0,0,#97,"(34.109135, -117.71281)","(34.109172, -117.71241)",286.25458,28,0.02664285714279302,38.89857142847781
457049,361,2021-07-22 14:01:16.778,A69-1602,65477,82.0,38.5,0,#9E,"(34.109135, -117.71281)","(34.109172, -117.71241)",294.433367,28,0.028571428571176227,41.71428571391729
