Receiver Serial Number,Three-Digit Line-Counter,Date/Time,Transmitter Code-Space,Transmitter ID Number,Signal Level (dB),Noise-Level (dB),Channel,Distance (m),Sensor GPS Coords,Tag GPS Coords
457012,000,2021-07-22 11:00:00,A69-1602,65477,82.0,38.5,#97,0,"(33.480503,-117.733113)","(33.480447,-117.734242)"
457012,000,2021-07-22 11:00:00.069978,A69-1602,65477,82.0,38.5,#97,104.96680787343757,"(33.480503,-117.733113)","(33.480526999999995,-117.734242)"
457012,000,2021-07-22 11:00:08.249377,A69-1602,65477,82.0,38.5,#97,105.56509870847131,"(33.480503,-117.733113)","(33.48060699999999,-117.734242)"
457012,000,2021-07-22 11:00:16.429266,A69-1602,65477,82.0,38.5,#97,106.89907001193352,"(33.480503,-117.733113)","(33.48068699999999,-117.734242)"
457012,000,2021-07-22 11:00:24.609628,A69-1602,65477,82.0,38.5,#97,108.94170034423409,"(33.480503,-117.733113)","(33.480766999999986,-117.734242)"
457012,000,2021-07-22 11:00:32.790436,A69-1602,65477,82.0,38.5,#97,111.65410330203112,"(33.480503,-117.733113)","(33.48084699999998,-117.734242)"
457012,000,2021-07-22 11:00:40.971659,A69-1602,65477,82.0,38.5,#97,114.9888921042252,"(33.480503,-117.733113)","(33.48092699999998,-117.734242)"
457012,000,2021-07-22 11:00:49.153262,A69-1602,65477,82.0,38.5,#97,118.89370735550465,"(33.480503,-117.733113)","(33.48100699999998,-117.734242)"
457012,000,2021-07-22 11:00:57.335210,A69-1602,65477,82.0,38.5,#97,123.31441040984237,"(33.480503,-117.733113)","(33.481086999999974,-117.734242)"
457012,000,2021-07-22 11:01:05.517465,A69-1602,65477,82.0,38.5,#97,128.1976435500988,"(33.480503,-117.733113)","(33.48116699999997,-117.734242)"
457012,000,2021-07-22 11:01:13.699995,A69-1602,65477,82.0,38.5,#97,133.49265764574517,"(33.480503,-117.733113)","(33.48124699999997,-117.734242)"
457012,000,2021-07-22 11:01:21.882768,A69-1602,65477,82.0,38.5,#97,139.15245352338007,"(33.480503,-117.733113)","(33.481326999999965,-117.734242)"
457012,000,2021-07-22 11:01:30.065756,A69-1602,65477,82.0,38.5,#97,145.1343613582781,"(33.480503,-117.733113)","(33.48140699999996,-117.734242)"
457012,000,2021-07-22 11:01:38.248933,A69-1602,65477,82.0,38.5,#97,151.4002055084473,"(33.480503,-117.733113)","(33.48148699999996,-117.734242)"
457012,000,2021-07-22 11:01:46.432277,A69-1602,65477,82.0,38.5,#97,157.9161912844767,"(33.480503,-117.733113)","(33.481566999999956,-117.734242)"
457012,000,2021-07-22 11:01:54.615768,A69-1602,65477,82.0,38.5,#97,164.65262396592436,"(33.480503,-117.733113)","(33.48164699999995,-117.734242)"
457012,000,2021-07-22 11:02:02.799389,A69-1602,65477,82.0,38.5,#97,171.58354105715836,"(33.480503,-117.733113)","(33.48172699999995,-117.734242)"
457012,000,2021-07-22 11:02:10.983124,A69-1602,65477,82.0,38.5,#97,178.68631291778246,"(33.480503,-117.733113)","(33.48180699999995,-117.734242)"
457012,000,2021-07-22 11:02:19.166961,A69-1602,65477,82.0,38.5,#97,185.94124655904287,"(33.480503,-117.733113)","(33.481886999999944,-117.734242)"
457012,000,2021-07-22 11:02:27.350887,A69-1602,65477,82.0,38.5,#97,193.33121271848637,"(33.480503,-117.733113)","(33.48196699999994,-117.734242)"
457012,000,2021-07-22 11:02:35.534894,A69-1602,65477,82.0,38.5,#97,200.8413063809689,"(33.480503,-117.733113)","(33.48204699999994,-117.734242)"
457012,000,2021-07-22 11:02:43.718972,A69-1602,65477,82.0,38.5,#97,208.45854453792958,"(33.480503,-117.733113)","(33.482126999999934,-117.734242)"
457012,000,2021-07-22 11:02:51.903114,A69-1602,65477,82.0,38.5,#97,216.17160114680306,"(33.480503,-117.733113)","(33.48220699999993,-117.734242)"
457012,000,2021-07-22 11:03:00.087314,A69-1602,65477,82.0,38.5,#97,223.97057710831305,"(33.480503,-117.733113)","(33.48228699999993,-117.734242)"
457012,000,2021-07-22 11:03:08.271565,A69-1602,65477,82.0,38.5,#97,231.8468020058681,"(33.480503,-117.733113)","(33.482366999999925,-117.734242)"
457012,000,2021-07-22 11:03:16.455862,A69-1602,65477,82.0,38.5,#97,239.79266402221575,"(33.480503,-117.733113)","(33.48244699999992,-117.734242)"
457012,000,2021-07-22 11:03:24.640201,A69-1602,65477,82.0,38.5,#97,247.8014644274899,"(33.480503,-117.733113)","(33.48252699999992,-117.734242)"
457012,000,2021-07-22 11:03:32.824578,A69-1602,65477,82.0,38.5,#97,255.86729327170931,"(33.480503,-117.733113)","(33.482606999999916,-117.734242)"
457012,000,2021-07-22 11:03:41.008990,A69-1602,65477,82.0,38.5,#97,263.98492325591826,"(33.480503,-117.733113)","(33.48268699999991,-117.734242)"
457012,000,2021-07-22 11:03:49.193433,A69-1602,65477,82.0,38.5,#97,272.1497190882789,"(33.480503,-117.733113)","(33.48276699999991,-117.734242)"
457012,000,2021-07-22 11:03:57.377905,A69-1602,65477,82.0,38.5,#97,280.35756000468405,"(33.480503,-117.733113)","(33.48284699999991,-117.734242)"
457012,000,2021-07-22 11:04:05.562403,A69-1602,65477,82.0,38.5,#97,288.60477347021566,"(33.480503,-117.733113)","(33.482926999999904,-117.734242)"
